주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,841","1,395","2,133","2,374","1,711"
영업이익,192,-19,175,231,133
영업이익(발표기준),192,-19,175,231,133
세전계속사업이익,60,25,201,136,164
당기순이익,46,19,155,98,125
  당기순이익(지배),46,19,155,98,125
  당기순이익(비지배),,,,,
자산총계,"3,003","2,809","3,339","3,354","3,321"
부채총계,664,497,889,996,873
자본총계,"2,338","2,312","2,450","2,358","2,448"
  자본총계(지배),"2,338","2,312","2,450","2,358","2,448"
  자본총계(비지배),,,,,
자본금,35,36,38,38,38
영업활동현금흐름,-56,144,-401,703,299
투자활동현금흐름,62,-69,47,-9,-14
재무활동현금흐름,,-47,-31,-186,-96
CAPEX,4,3,23,17,14
FCF,-60,141,-424,687,284
이자발생부채,0,0,8,7,15
영업이익률,10.43,-1.36,8.19,9.74,7.76
순이익률,2.49,1.37,7.24,4.12,7.31
ROE(%),1.98,0.83,,4.07,5.20
ROA(%),1.41,0.66,,2.93,3.75
부채비율,28.42,21.50,36.31,42.23,35.65
자본유보율,"6,496.00","6,364.64","6,583.19","6,618.71","6,834.10"
EPS(원),610,255,"2,058","1,304","1,666"
PER(배),25.67,43.26,9.62,12.00,11.14
BPS(원),"31,148","32,133","34,051","36,206","37,171"
PBR(배),0.50,0.34,0.58,0.43,0.50
현금DPS(원),0,0,800,800,800
현금배당수익률,0.00,0.00,4.04,5.11,4.31
현금배당성향(%),0.00,0.00,37.24,55.12,41.48
발행주식수(보통주),"7,506,711","7,506,711","7,506,711","7,506,711","7,506,711"
