주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,"3,487","3,396","3,841","3,343","3,970","4,620","5,050"
영업이익,249,205,352,571,359,340,430
영업이익(발표기준),249,205,352,571,359,,
세전계속사업이익,669,-277,435,760,490,310,400
당기순이익,615,-294,413,628,404,250,310
  당기순이익(지배),615,-294,413,628,404,250,310
  당기순이익(비지배),,,,,,,
자산총계,"4,961","5,489","5,602","5,629","5,968","6,260","6,590"
부채총계,"2,868","3,725","3,556","3,071","2,726","3,430","3,460"
자본총계,"2,093","1,764","2,046","2,559","3,242","2,830","3,130"
  자본총계(지배),"2,093","1,764","2,046","2,559","3,242","2,830","3,130"
  자본총계(비지배),,,,,,,
자본금,838,838,841,841,889,840,840
영업활동현금흐름,241,218,409,647,326,360,410
투자활동현금흐름,-25,-519,-198,-465,-281,-360,-330
재무활동현금흐름,-404,399,-264,-200,-63,-220,-10
CAPEX,110,123,288,204,317,370,340
FCF,131,94,121,443,8,-10,70
이자발생부채,576,"2,119","2,039","1,921","1,632",,
영업이익률,7.14,6.02,9.17,17.09,9.06,7.36,8.52
순이익률,17.64,-8.64,10.76,18.78,10.17,5.41,6.14
ROE(%),34.91,-15.22,21.69,27.27,13.92,8.23,10.40
ROA(%),12.11,-5.62,7.45,11.18,6.97,4.09,4.83
부채비율,136.98,211.18,173.79,120.00,84.08,121.20,110.54
자본유보율,169.26,110.41,145.69,202.75,256.62,,
EPS(원),"3,670","-1,752","2,458","3,732","2,310","1,407","1,744"
PER(배),4.16,N/A,12.39,7.96,14.42,21.33,17.20
BPS(원),"12,492","10,526","12,164","15,211","18,240","15,922","17,609"
PBR(배),1.22,4.00,2.50,1.95,1.83,1.88,1.70
현금DPS(원),0,800,"1,000","1,100","1,200","1,100","1,100"
현금배당수익률,0.00,1.90,3.28,3.70,3.60,3.67,3.67
현금배당성향(%),0.00,-45.67,40.71,29.47,52.81,78.21,63.07
발행주식수(보통주),"16,758,544","16,758,544","16,821,290","16,821,290","17,774,535",,
