주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,434","1,356","1,471","1,463","1,381"
영업이익,77,-43,67,136,13
영업이익(발표기준),77,-43,67,136,13
세전계속사업이익,134,-3,62,345,97
당기순이익,104,-2,47,269,76
  당기순이익(지배),104,-2,47,269,76
  당기순이익(비지배),,,,,
자산총계,"2,064","2,018","2,063","2,328","2,394"
부채총계,230,215,217,218,233
자본총계,"1,834","1,803","1,846","2,110","2,161"
  자본총계(지배),"1,834","1,803","1,846","2,110","2,161"
  자본총계(비지배),,,,,
자본금,125,125,125,125,125
영업활동현금흐름,73,18,168,138,17
투자활동현금흐름,-20,-17,-152,-14,13
재무활동현금흐름,-92,-34,10,-26,-26
CAPEX,21,16,11,56,28
FCF,52,2,157,82,-11
이자발생부채,25,16,30,11,12
영업이익률,5.34,-3.16,4.56,9.27,0.97
순이익률,7.27,-0.13,3.18,18.35,5.51
ROE(%),5.78,-0.10,2.56,13.58,3.57
ROA(%),4.99,-0.09,2.29,12.23,3.23
부채비율,12.55,11.91,11.73,10.34,10.78
자본유보율,"1,363.67","1,342.78","1,377.02","1,590.92","1,628.98"
EPS(원),"4,172",-70,"1,868","10,743","3,046"
PER(배),9.96,N/A,17.58,2.78,9.85
BPS(원),"73,362","72,139","73,851","84,390","86,449"
PBR(배),0.57,0.46,0.44,0.35,0.35
현금DPS(원),"1,000",0,0,"1,000","1,000"
현금배당수익률,2.41,0.00,0.00,3.34,3.33
현금배당성향(%),23.97,0.00,0.00,9.31,32.83
발행주식수(보통주),"2,499,971","2,499,971","2,499,971","2,499,971","2,499,971"
