주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,168","1,119","1,154","1,025","1,176"
영업이익,3,-3,8,-17,0
영업이익(발표기준),3,-3,8,-17,0
세전계속사업이익,3,12,15,-11,20
당기순이익,1,10,10,-10,12
  당기순이익(지배),1,10,10,-10,12
  당기순이익(비지배),,,,,
자산총계,"1,297","1,278","1,351","1,307","1,353"
부채총계,132,106,166,139,151
자본총계,"1,165","1,172","1,185","1,167","1,201"
  자본총계(지배),"1,165","1,172","1,185","1,167","1,201"
  자본총계(비지배),,,,,
자본금,75,75,77,77,77
영업활동현금흐름,50,36,39,59,5
투자활동현금흐름,-83,-25,-52,-25,-15
재무활동현금흐름,-13,2,12,-22,-17
CAPEX,30,65,109,44,49
FCF,20,-28,-71,15,-44
이자발생부채,0,0,11,0,0
영업이익률,0.29,-0.31,0.65,-1.68,-0.03
순이익률,0.06,0.94,0.91,-0.98,1.03
ROE(%),0.06,0.90,0.89,-0.85,1.02
ROA(%),0.05,0.82,0.80,-0.75,0.91
부채비율,11.35,9.08,13.99,11.94,12.60
자본유보율,"1,447.57","1,457.14","1,440.04","1,414.66","1,429.85"
EPS(원),4,69,68,-65,79
PER(배),934.67,40.12,38.92,N/A,43.64
BPS(원),"7,602","7,644","7,734","7,616","7,839"
PBR(배),0.52,0.36,0.34,0.36,0.44
현금DPS(원),0,0,50,50,50
현금배당수익률,0.00,0.00,1.88,1.83,1.45
현금배당성향(%),0.00,0.00,73.16,-76.55,63.24
발행주식수(보통주),"15,326,438","15,326,438","15,326,438","15,326,438","15,326,438"
