주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"3,188","3,391","3,801","4,476","5,076","5,640","6,170","6,050"
영업이익,204,203,394,410,410,472,568,590
영업이익(발표기준),204,203,394,410,410,,,
세전계속사업이익,86,151,370,391,393,442,539,570
당기순이익,36,115,295,238,298,341,409,430
  당기순이익(지배),36,115,295,238,298,339,412,430
  당기순이익(비지배),,,,,,,,
자산총계,634,"1,122","1,581","2,295","2,547","2,818","3,181","3,470"
부채총계,353,573,778,760,749,745,768,780
자본총계,281,549,802,"1,535","1,798","2,074","2,414","2,690"
  자본총계(지배),281,549,802,"1,535","1,798","2,117","2,487",
  자본총계(비지배),,,,,,,,
자본금,3,105,105,126,126,128,128,130
영업활동현금흐름,257,177,436,275,326,450,529,550
투자활동현금흐름,-183,-223,-246,-599,-79,-282,-306,-300
재무활동현금흐름,-49,24,-32,408,-111,-75,-82,-90
CAPEX,124,206,286,413,267,268,292,290
FCF,133,-30,150,-138,60,176,227,250
이자발생부채,106,304,378,322,290,,,
영업이익률,6.40,5.98,10.35,9.17,8.07,8.36,9.21,9.75
순이익률,1.12,3.38,7.77,5.33,5.88,6.04,6.63,7.11
ROE(%),13.48,,43.70,20.40,17.91,17.32,17.92,
ROA(%),5.84,,21.85,12.30,12.33,12.70,13.63,12.93
부채비율,125.72,104.47,97.00,49.51,41.66,35.93,31.80,29.00
자본유보율,"11,554.79",476.18,715.93,"1,159.63","1,358.00",,,
EPS(원),"8,855","2,675","1,411","1,107","1,195","1,357","1,651","1,721"
PER(배),,,,17.58,13.89,10.80,8.87,8.51
BPS(원),"69,651","2,622","3,835","6,145","7,197","8,474","9,955",
PBR(배),0.00,0.00,0.00,3.17,2.31,1.73,1.47,
현금DPS(원),0,"4,956",96,200,300,300,300,300
현금배당수익률,,,,1.03,1.81,2.05,2.05,2.05
현금배당성향(%),0.00,17.46,6.78,20.96,25.11,22.11,18.17,17.43
발행주식수(보통주),"403,540","20,922,540","20,922,540","24,982,540","24,982,540",,,
