주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"3,146","5,340","2,439","2,043","3,059","4,387","6,653","11,024"
영업이익,85,151,-36,124,218,368,563,931
영업이익(발표기준),85,151,-36,124,218,,,
세전계속사업이익,46,105,-59,81,224,362,540,910
당기순이익,82,104,-18,117,180,289,440,730
  당기순이익(지배),82,104,-18,117,180,289,440,730
  당기순이익(비지배),,,,,,,,
자산총계,"1,977","2,373","2,648","3,623","3,485","5,340","6,260","8,230"
부채총계,"1,236","1,491","1,137","1,855","1,430","2,970","3,460","4,700"
자본총계,741,883,"1,511","1,768","2,054","2,370","2,800","3,530"
  자본총계(지배),741,883,"1,511","1,768","2,054","2,370","2,800","3,530"
  자본총계(비지배),,,,,,,,
자본금,927,197,292,292,301,300,300,300
영업활동현금흐름,-12,97,0,-19,260,650,650,830
투자활동현금흐름,356,-260,-287,-154,-440,-790,-870,"-1,020"
재무활동현금흐름,-381,217,510,91,155,"1,000",0,0
CAPEX,119,238,87,281,410,740,850,900
FCF,-132,-141,-87,-299,-150,-90,-210,-70
이자발생부채,722,857,738,839,885,,,
영업이익률,2.69,2.84,-1.49,6.09,7.12,8.38,8.46,8.45
순이익률,2.61,1.96,-0.74,5.75,5.88,6.59,6.61,6.62
ROE(%),13.11,12.86,-1.50,7.16,9.42,13.06,17.02,23.06
ROA(%),3.85,4.80,-0.72,3.74,5.06,6.55,7.59,10.08
부채비율,166.68,168.84,75.26,104.93,69.62,125.32,123.57,133.14
자본유보율,-29.12,291.25,379.03,413.49,493.58,,,
EPS(원),466,480,-77,401,604,961,"1,462","2,426"
PER(배),30.03,32.68,N/A,48.97,76.39,51.53,33.85,20.40
BPS(원),"3,536","3,958","5,167","6,047","6,831","7,880","9,310","11,737"
PBR(배),3.95,3.97,1.72,3.25,6.76,6.28,5.32,4.22
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"20,960,573","22,316,662","29,247,965","29,247,965","30,086,889",,,
