주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,783","1,370","1,510","1,709","1,979"
영업이익,-2,-69,-30,80,105
영업이익(발표기준),-2,-69,-30,80,105
세전계속사업이익,42,-72,-41,75,82
당기순이익,41,-79,-109,51,59
  당기순이익(지배),42,-79,-109,51,61
  당기순이익(비지배),0,0,0,0,-2
자산총계,"6,541","6,487","7,033","7,074","7,037"
부채총계,"1,521","1,593","1,779","1,745","1,645"
자본총계,"5,020","4,894","5,254","5,329","5,393"
  자본총계(지배),"5,017","4,892","5,252","5,327","5,392"
  자본총계(비지배),3,,2,2,1
자본금,360,360,360,360,360
영업활동현금흐름,67,-1,87,159,183
투자활동현금흐름,124,-169,-110,-53,-45
재무활동현금흐름,-181,120,30,-63,-145
CAPEX,286,155,84,93,91
FCF,-219,-157,4,66,92
이자발생부채,621,771,836,795,674
영업이익률,-0.13,-5.03,-1.95,4.70,5.29
순이익률,2.31,-5.79,-7.20,2.96,3.00
ROE(%),0.83,-1.60,-2.14,0.96,1.14
ROA(%),0.64,-1.22,-1.61,0.72,0.84
부채비율,30.31,32.55,33.86,32.73,30.50
자본유보율,741.64,717.87,688.54,703.62,721.29
EPS(원),60,-113,-156,73,87
PER(배),43.98,N/A,N/A,30.73,27.99
BPS(원),"7,498","7,449","8,072","8,215","8,360"
PBR(배),0.35,0.26,0.20,0.27,0.29
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"69,751,600","69,751,600","69,751,600","69,751,600","69,751,600"
