주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"2,164","2,455","2,237","2,618","3,019","3,540","4,038","4,557"
영업이익,530,605,336,600,759,855,"1,023","1,155"
영업이익(발표기준),530,605,336,600,759,,,
세전계속사업이익,424,439,212,527,833,866,"1,030","1,165"
당기순이익,328,350,177,417,640,672,790,890
  당기순이익(지배),328,350,177,417,640,672,790,890
  당기순이익(비지배),,,,,,,,
자산총계,"3,412","3,724","3,930","4,040","4,730","5,263","5,957","6,815"
부채총계,929,"1,137","1,417","1,211","1,471","1,627","1,784","1,961"
자본총계,"2,482","2,587","2,513","2,829","3,259","3,636","4,172","4,854"
  자본총계(지배),"2,482","2,587","2,513","2,829","3,259","3,636","4,172","4,854"
  자본총계(비지배),,,,,,,,
자본금,147,147,147,147,147,149,149,149
영업활동현금흐름,697,179,381,809,886,897,"1,035","1,153"
투자활동현금흐름,-224,-694,-144,-124,-506,-512,-329,-289
재무활동현금흐름,-196,-88,-65,-212,-240,-238,-255,-340
CAPEX,121,673,239,89,327,550,344,267
FCF,576,-494,142,720,559,539,758,886
이자발생부채,389,536,727,609,631,,,
영업이익률,24.49,24.66,15.02,22.92,25.13,24.15,25.34,25.35
순이익률,15.15,14.25,7.92,15.94,21.20,18.98,19.57,19.53
ROE(%),13.75,13.80,6.95,15.62,21.03,19.49,20.24,19.72
ROA(%),10.11,9.81,4.63,10.47,14.59,13.45,14.09,13.94
부채비율,37.44,43.93,56.38,42.82,45.13,44.76,42.75,40.40
자본유보율,"2,122.38","2,193.86","2,143.26","2,358.48","2,651.35",,,
EPS(원),"1,116","1,191",603,"1,421","2,179","2,288","2,691","3,031"
PER(배),42.33,27.87,58.01,26.04,25.28,19.56,16.63,14.77
BPS(원),"8,453","8,810","8,557","9,633","11,097","12,381","14,206","16,528"
PBR(배),5.59,3.77,4.09,3.84,4.97,3.61,3.15,2.71
현금DPS(원),800,830,315,711,"1,090","1,002","1,050","1,090"
현금배당수익률,1.69,2.50,0.90,1.92,1.98,2.24,2.35,2.44
현금배당성향(%),71.67,69.67,52.21,50.04,50.01,43.81,39.03,35.98
발행주식수(보통주),"29,366,322","29,366,322","29,366,322","29,366,322","29,366,322",,,
