주요재무정보,"2020/12
(IFRS별도)","2021/06
(IFRS별도)","2021/12
(IFRS연결)"
매출액,19,96,106
영업이익,3,36,57
영업이익(발표기준),3,36,57
세전계속사업이익,-5,-3,17
당기순이익,-5,-3,17
  당기순이익(지배),-5,-3,17
  당기순이익(비지배),,,
자산총계,"4,232","4,061","5,926"
부채총계,"2,830","2,662","3,208"
자본총계,"1,402","1,398","2,718"
  자본총계(지배),"1,402","1,398","2,718"
  자본총계(비지배),,,
자본금,290,290,560
영업활동현금흐름,-185,222,-44
투자활동현금흐름,"-1,138",40,"-1,721"
재무활동현금흐름,"1,385",-180,"1,855"
CAPEX,,,
FCF,-185,222,-44
이자발생부채,"2,438","2,263","2,722"
영업이익률,13.75,37.09,53.52
순이익률,-29.22,-3.63,15.62
ROE(%),,-0.25,
ROA(%),,-0.08,
부채비율,201.88,190.41,118.02
자본유보율,383.75,382.55,385.71
EPS(원),-100,-12,49
PER(배),,,101.81
BPS(원),"4,837","4,825","4,857"
PBR(배),0.00,0.00,1.03
현금DPS(원),0,0,89
현금배당수익률,,,1.78
현금배당성향(%),0.00,0.00,301.19
발행주식수(보통주),"28,977,942",,"55,955,884"
