주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,620","1,310","1,263","1,321","1,367"
영업이익,11,-221,-47,40,43
영업이익(발표기준),11,-221,-47,40,43
세전계속사업이익,17,-344,-103,63,71
당기순이익,38,-356,-105,71,39
  당기순이익(지배),36,-338,-105,71,39
  당기순이익(비지배),2,-18,,,
자산총계,"1,972","1,607","1,821","1,807","1,856"
부채총계,"1,164","1,212","1,548","1,359","1,422"
자본총계,807,395,273,447,434
  자본총계(지배),761,395,273,447,434
  자본총계(비지배),46,,,,
자본금,234,234,234,240,240
영업활동현금흐름,149,209,307,110,-69
투자활동현금흐름,-28,-70,-57,-186,221
재무활동현금흐름,-130,-74,-71,-133,-18
CAPEX,16,13,3,7,8
FCF,133,197,304,104,-77
이자발생부채,362,238,185,38,22
영업이익률,0.66,-16.85,-3.69,3.04,3.17
순이익률,2.33,-27.14,-8.30,5.40,2.83
ROE(%),4.93,-68.10,-31.41,19.81,8.79
ROA(%),1.89,-21.51,-6.12,3.93,2.12
부채비율,144.18,306.95,567.61,304.02,327.64
자본유보율,90.94,-51.61,-106.72,-50.37,2.03
EPS(원),77,-760,-224,150,81
PER(배),42.71,N/A,N/A,14.24,34.74
BPS(원),"1,634",848,586,934,906
PBR(배),2.02,3.27,3.56,2.29,3.09
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"46,764,840","46,764,840","46,764,840","48,061,460","48,061,460"
