주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,335,338,361,383,398
영업이익,13,13,6,1,17
영업이익(발표기준),13,13,6,1,17
세전계속사업이익,14,9,8,3,18
당기순이익,12,11,6,4,17
  당기순이익(지배),12,11,6,4,17
  당기순이익(비지배),,,,,
자산총계,518,533,556,541,563
부채총계,86,96,117,101,108
자본총계,432,438,439,440,455
  자본총계(지배),432,438,439,440,455
  자본총계(비지배),,,,,
자본금,120,120,120,120,120
영업활동현금흐름,7,34,15,20,12
투자활동현금흐름,-17,-38,-28,-19,-11
재무활동현금흐름,-11,8,5,-6,-4
CAPEX,11,37,25,17,6
FCF,-4,-3,-10,3,5
이자발생부채,14,26,37,34,33
영업이익률,3.82,3.91,1.75,0.38,4.25
순이익률,3.70,3.27,1.80,1.03,4.26
ROE(%),2.88,2.54,1.48,0.90,3.79
ROA(%),2.36,2.10,1.19,0.72,3.07
부채비율,19.92,21.83,26.55,22.97,23.66
자본유보율,260.54,265.76,267.49,267.95,280.80
EPS(원),21,18,11,7,28
PER(배),52.22,111.12,188.42,372.75,69.97
BPS(원),722,731,734,735,760
PBR(배),1.50,2.81,2.78,3.34,2.60
현금DPS(원),7,5,5,4,5
현금배당수익률,0.65,0.24,0.25,0.16,0.25
현금배당성향(%),33.85,27.10,46.18,60.73,17.67
발행주식수(보통주),"59,900,000","59,900,000","59,900,000","59,900,000","59,900,000"
