주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"8,884","10,107","9,102","2,718","2,472","5,614","10,573","11,192"
영업이익,969,630,-488,"-1,847","-1,852",-916,651,918
영업이익(발표기준),969,630,-488,"-1,847","-1,852",,,
세전계속사업이익,965,618,-688,"-1,779","-2,211","-1,104",471,640
당기순이익,741,445,-567,"-1,904","-1,336","-1,026",375,510
  당기순이익(지배),741,445,-567,"-1,904","-1,336","-1,026",375,510
  당기순이익(비지배),,,,,,,,
자산총계,"4,983","5,195","7,044","5,568","6,016","6,077","6,472","8,380"
부채총계,"2,665","2,533","5,127","4,586","4,288","5,324","5,407","5,960"
자본총계,"2,318","2,662","1,917",982,"1,727",753,"1,065","2,420"
  자본총계(지배),"2,318","2,662","1,917",982,"1,727",753,"1,065","2,420"
  자본총계(비지배),,,,,,,,
자본금,300,300,300,450,522,521,521,520
영업활동현금흐름,"1,247",547,646,"-1,718",-737,-283,823,"1,350"
투자활동현금흐름,"-1,714",-125,844,"1,220",-217,-398,-422,-240
재무활동현금흐름,588,-280,"-1,434",180,"1,079",738,-192,400
CAPEX,77,7,5,2,0,390,500,0
FCF,"1,169",540,640,"-1,720",-737,-354,517,"1,350"
이자발생부채,457,294,"2,923","3,704","3,451",,,
영업이익률,10.91,6.23,-5.37,-67.97,-74.94,-16.31,6.16,8.20
순이익률,8.34,4.40,-6.22,-70.06,-54.04,-18.29,3.54,4.56
ROE(%),47.84,,-24.74,-131.35,-98.62,-82.76,41.22,29.27
ROA(%),18.51,,-9.26,-30.19,-23.06,-16.98,5.97,6.87
부채비율,114.96,95.17,267.37,467.20,248.25,706.85,507.79,246.28
자본유보율,673.36,787.65,562.81,141.40,107.85,,,
EPS(원),"2,357","1,284","-1,636","-5,235","-2,815","-1,966",718,977
PER(배),9.77,13.02,N/A,N/A,N/A,N/A,23.82,17.50
BPS(원),"6,694","7,688","5,615","2,134","3,352","1,462","2,066","4,696"
PBR(배),3.44,2.18,2.37,6.11,4.98,11.70,8.28,3.64
현금DPS(원),217,260,0,0,,0,0,0
현금배당수익률,0.94,1.55,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),10.12,20.24,0.00,0.00,,,,
발행주식수(보통주),"34,626,781","34,626,781","34,626,781","46,685,859","52,200,000",,,
