주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,436","1,252","2,388","2,386","3,825"
영업이익,21,32,30,17,173
영업이익(발표기준),21,32,30,17,173
세전계속사업이익,4,72,15,-8,73
당기순이익,9,66,10,-9,47
  당기순이익(지배),9,66,10,-7,24
  당기순이익(비지배),0,0,,-2,23
자산총계,"1,067","1,135","1,615","1,853","3,491"
부채총계,483,366,666,861,"1,816"
자본총계,583,770,949,992,"1,676"
  자본총계(지배),576,770,949,948,"1,402"
  자본총계(비지배),8,,,44,274
자본금,159,239,339,339,605
영업활동현금흐름,31,41,-219,152,161
투자활동현금흐름,-84,-35,-152,-146,-150
재무활동현금흐름,-9,126,191,214,249
CAPEX,6,6,20,28,11
FCF,25,35,-239,124,150
이자발생부채,18,0,14,188,92
영업이익률,1.48,2.53,1.28,0.73,4.52
순이익률,0.60,5.24,0.44,-0.36,1.22
ROE(%),1.52,10.32,1.22,,2.03
ROA(%),0.73,6.20,0.76,,1.74
부채비율,82.83,47.48,70.20,86.81,108.38
자본유보율,256.46,220.60,179.54,178.06,144.40
EPS(원),18,111,16,-8,26
PER(배),44.57,9.71,80.07,N/A,36.47
BPS(원),"1,186","1,203","1,159","1,158","1,158"
PBR(배),0.67,0.90,1.08,1.10,0.80
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"48,560,116","63,991,520","81,847,231","81,847,231","121,051,466"
