주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"20,625","19,285","16,984","20,675","22,312","23,047","24,800","26,980"
영업이익,"1,405",560,558,931,693,822,"1,003","1,140"
영업이익(발표기준),"1,405",560,558,931,693,,,
세전계속사업이익,"1,382","1,247",745,955,833,941,"1,109","1,265"
당기순이익,959,900,427,668,572,694,816,926
  당기순이익(지배),960,900,427,651,559,678,783,876
  당기순이익(비지배),0,0,0,18,13,,,
자산총계,"9,757","9,402","12,026","12,295","12,464","13,240","14,092","14,794"
부채총계,"4,681","3,657","5,893","6,006","6,247","6,551","6,891","7,173"
자본총계,"5,076","5,745","6,133","6,289","6,217","6,689","7,201","7,621"
  자본총계(지배),"5,075","5,744","5,934","6,079","6,213","6,632","7,140","7,532"
  자본총계(비지배),1,,199,210,4,,,
자본금,235,235,235,235,235,238,238,238
영업활동현금흐름,662,637,794,"1,931",284,"1,390","1,409","1,477"
투자활동현금흐름,"-1,543",501,180,"-1,001","1,083",-303,-392,-509
재무활동현금흐름,172,"-1,079",-348,"-1,321","-1,255",-531,-563,-649
CAPEX,"1,166",119,185,160,289,410,433,474
FCF,-504,518,609,"1,771",-5,715,691,641
이자발생부채,"1,507",639,"2,879","2,390","2,655",,,
영업이익률,6.81,2.91,3.28,4.50,3.10,3.57,4.05,4.23
순이익률,4.65,4.67,2.51,3.23,2.56,3.01,3.29,3.43
ROE(%),18.30,16.63,7.32,10.83,9.10,10.56,11.37,11.94
ROA(%),10.23,9.39,3.99,5.50,4.62,5.40,5.97,6.41
부채비율,92.21,63.66,96.09,95.50,100.48,97.94,95.69,94.13
자본유보율,"2,718.45","2,999.76","3,113.32","3,299.73","3,438.25",,,
EPS(원),"4,077","3,823","1,815","2,765","2,377","2,883","3,328","3,721"
PER(배),44.15,17.63,34.26,37.79,38.95,23.48,20.35,18.19
BPS(원),"28,788","32,581","33,659","35,223","36,479","39,960","43,021","45,381"
PBR(배),6.25,2.07,1.85,2.97,2.54,1.69,1.57,1.49
현금DPS(원),"1,200","1,200","1,200","1,300","1,550","1,744","1,990","2,342"
현금배당수익률,0.67,1.78,1.93,1.24,1.67,2.58,2.94,3.46
현금배당성향(%),22.05,23.51,49.52,34.48,34.86,60.48,59.79,62.94
발행주식수(보통주),"23,533,928","23,533,928","23,533,928","23,533,928","23,533,928",,,
