주요재무정보,"2020/06
(IFRS별도)","2020/12
(IFRS별도)","2021/06
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,77,30,92
영업이익,0,73,26,89
영업이익(발표기준),0,73,26,89
세전계속사업이익,0,73,26,82
당기순이익,0,73,26,81
  당기순이익(지배),0,73,26,81
  당기순이익(비지배),,,,
자산총계,135,"1,082","1,251","1,682"
부채총계,2,1,170,547
자본총계,133,"1,082","1,080","1,135"
  자본총계(지배),133,"1,082","1,080","1,135"
  자본총계(비지배),,,,
자본금,27,206,206,206
영업활동현금흐름,0,2,20,19
투자활동현금흐름,,-898,-175,-415
재무활동현금흐름,135,876,140,348
CAPEX,,,,
FCF,0,2,20,19
이자발생부채,0,0,166,544
영업이익률,,94.41,86.74,97.38
순이익률,,94.49,86.07,88.46
ROE(%),,12.02,2.38,7.32
ROA(%),,11.99,2.20,5.53
부채비율,1.56,0.06,15.75,48.20
자본유보율,391.01,425.00,424.47,450.81
EPS(원),-92,370,125,393
PER(배),,13.31,40.77,13.27
BPS(원),"4,910","5,250","5,245","5,508"
PBR(배),0.00,0.94,0.97,0.95
현금DPS(원),0,130,130,
현금배당수익률,,2.64,2.56,
현금배당성향(%),0.00,36.70,104.32,33.56
발행주식수(보통주),"2,700,000",,"20,600,000","20,600,000"
