주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,143,196,267,455,"1,191","2,038","2,349","2,601"
영업이익,-5,3,7,46,69,138,183,228
영업이익(발표기준),-5,3,7,46,69,,,
세전계속사업이익,-11,4,23,1,43,130,145,188
당기순이익,-23,2,23,1,35,104,118,154
  당기순이익(지배),-22,2,27,1,35,106,118,154
  당기순이익(비지배),0,,-4,0,0,,,
자산총계,227,187,420,482,"2,901","3,225","3,433","3,644"
부채총계,62,21,210,210,674,923,"1,013","1,062"
자본총계,165,166,210,272,"2,228","2,302","2,420","2,582"
  자본총계(지배),165,166,206,272,"2,228","2,302","2,420","2,582"
  자본총계(비지배),,,4,0,0,,,
자본금,79,79,85,93,174,166,166,174
영업활동현금흐름,-1,-18,8,52,173,354,241,325
투자활동현금흐름,-6,33,-96,-50,-2,-240,-266,-316
재무활동현금흐름,8,-28,188,1,-13,-53,-45,-37
CAPEX,2,0,1,1,9,0,0,0
FCF,-2,-18,7,51,164,369,266,353
이자발생부채,28,0,126,98,227,,,
영업이익률,-3.47,1.36,2.63,10.08,5.81,6.76,7.79,8.77
순이익률,-15.86,0.77,8.50,0.16,2.96,5.09,5.02,5.92
ROE(%),,0.90,,0.22,2.84,4.68,5.00,6.16
ROA(%),,0.80,,0.16,2.09,3.38,3.55,4.35
부채비율,37.66,12.88,100.17,77.10,30.23,40.10,41.86,41.13
자본유보율,108.22,111.52,179.75,241.13,"1,236.96",,,
EPS(원),-142,10,166,3,114,293,323,422
PER(배),N/A,235.41,24.32,"3,238.63",138.91,28.51,25.81,19.77
BPS(원),"1,041","1,047","1,213","1,469","6,419","6,305","6,628","7,072"
PBR(배),2.55,2.15,3.33,6.69,2.48,1.32,1.26,1.18
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,,,,
발행주식수(보통주),"15,832,549","15,832,549","16,959,266","18,505,691","34,709,306",,,
