주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"9,067","9,460","8,776","7,952","8,880"
영업이익,243,324,384,504,446
영업이익(발표기준),-618,277,384,504,446
세전계속사업이익,"-1,126",404,327,14,-58
당기순이익,"-1,596",-3,304,-36,-75
  당기순이익(지배),"-1,394",90,303,-38,-65
  당기순이익(비지배),-202,-93,1,2,-10
자산총계,"19,186","18,736","18,607","18,372","18,378"
부채총계,"14,897","15,066","15,002","14,806","14,892"
자본총계,"4,290","3,670","3,605","3,566","3,486"
  자본총계(지배),"3,313","3,403","3,336","3,295","3,225"
  자본총계(비지배),977,,268,270,261
자본금,"1,551","1,551","1,551","1,551","1,551"
영업활동현금흐름,350,572,670,780,"1,078"
투자활동현금흐름,341,-590,-539,-693,748
재무활동현금흐름,-772,-566,-368,-118,-837
CAPEX,119,350,351,260,430
FCF,232,221,319,520,647
이자발생부채,"9,244","9,311","9,206","9,396","8,469"
영업이익률,2.68,3.42,4.38,6.34,5.02
순이익률,-17.61,-0.03,3.46,-0.45,-0.85
ROE(%),-33.57,2.69,8.98,-1.15,-2.00
ROA(%),-7.61,-0.01,1.63,-0.19,-0.41
부채비율,347.26,410.45,416.17,415.22,427.20
자본유보율,113.94,116.58,135.10,132.53,127.92
EPS(원),"-4,722",306,"1,025",-129,-221
PER(배),N/A,9.57,2.53,N/A,N/A
BPS(원),"12,698","13,043","12,788","12,631","12,363"
PBR(배),0.32,0.22,0.20,0.33,0.34
현금DPS(원),0,0,0,0,100
현금배당수익률,0.00,0.00,0.00,0.00,2.40
현금배당성향(%),0.00,0.00,0.00,0.00,-40.03
발행주식수(보통주),"29,529,812","29,529,812","29,529,812","29,529,812","29,529,812"
