주요재무정보,"2020/12
(IFRS별도)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"7,087","11,757",,,
영업이익,358,"1,605",,,
영업이익(발표기준),358,"1,605",,,
세전계속사업이익,"1,348","1,578",,,
당기순이익,"1,324","1,172",,,
  당기순이익(지배),"1,324","1,172",,,
  당기순이익(비지배),,,,,
자산총계,"17,178","18,779",,,
부채총계,"3,980","4,895",,,
자본총계,"13,199","13,884",,,
  자본총계(지배),"13,199","13,884",,,
  자본총계(비지배),,,,,
자본금,160,160,,,
영업활동현금흐름,"1,097","2,297",,,
투자활동현금흐름,"-2,717","-2,425",,,
재무활동현금흐름,-30,-74,,,
CAPEX,624,"1,136",,,
FCF,473,"1,161",,,
이자발생부채,"1,129","1,753",,,
영업이익률,5.06,13.65,,,
순이익률,18.69,9.97,,,
ROE(%),,,,,
ROA(%),,,,,
부채비율,30.15,35.26,,,
자본유보율,"8,171.23","8,600.96",,,
EPS(원),"14,795","7,340",,,
PER(배),2.49,8.16,,,
BPS(원),"82,781","87,084",,,
PBR(배),0.44,0.69,,,
현금DPS(원),,"2,400","2,400","2,400","2,400"
현금배당수익률,,4.01,4.11,4.11,4.11
현금배당성향(%),25.28,32.64,,,
발행주식수(보통주),"15,970,512","15,970,512",,,
