주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"2,209","2,056","1,955","1,861","2,266","2,567"
영업이익,129,37,36,-3,136,158
영업이익(발표기준),129,37,36,-3,136,
세전계속사업이익,47,-84,31,-10,7,164
당기순이익,44,-74,27,-10,-31,132
  당기순이익(지배),44,-74,27,-10,-32,139
  당기순이익(비지배),,,,,2,
자산총계,"3,613","3,389","3,372","3,264","3,519","3,733"
부채총계,758,624,584,490,748,831
자본총계,"2,855","2,765","2,788","2,774","2,770","2,902"
  자본총계(지배),"2,855","2,765","2,788","2,774","2,744","2,883"
  자본총계(비지배),,,,,26,
자본금,127,127,127,127,127,127
영업활동현금흐름,67,159,117,111,-109,183
투자활동현금흐름,-95,-564,88,163,-368,-27
재무활동현금흐름,-76,-9,-93,0,86,1
CAPEX,46,27,38,131,124,
FCF,21,132,79,-19,-232,183
이자발생부채,90,90,21,28,126,
영업이익률,5.85,1.82,1.83,-0.14,5.99,6.16
순이익률,1.99,-3.58,1.37,-0.56,-1.35,5.14
ROE(%),1.53,-2.62,0.97,-0.37,,4.94
ROA(%),1.19,-2.10,0.79,-0.31,,3.64
부채비율,26.55,22.57,20.97,17.68,27.02,28.64
자본유보율,"2,193.10","2,122.40","2,140.21","2,129.14","2,105.82",
EPS(원),346,-578,211,-81,-253,"1,092"
PER(배),36.75,N/A,36.16,N/A,N/A,8.62
BPS(원),"22,424","21,717","21,895","21,785","21,552","22,644"
PBR(배),0.57,0.48,0.35,0.43,0.43,0.42
현금DPS(원),70,0,38,,,0
현금배당수익률,0.55,0.00,0.50,,,0.00
현금배당성향(%),20.26,0.00,18.03,0.00,,
발행주식수(보통주),"12,731,947","12,731,947","12,731,947","12,731,947","12,731,947",
