주요재무정보,"2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"54,567","83,120","83,113","99,258","116,307","134,520"
영업이익,"1,295",325,"-8,003",-329,"5,350","9,817"
영업이익(발표기준),"1,295",325,"-8,003",,,
세전계속사업이익,"-1,035","-5,401","-11,114","-1,206","4,614","9,149"
당기순이익,-889,"-4,314","-8,142",-925,"3,520","6,903"
  당기순이익(지배),-889,"-4,314","-8,142",-925,"3,520","6,903"
  당기순이익(비지배),,,,,,
자산총계,"138,695","137,997","150,787","147,418","155,900","166,857"
부채총계,"82,466","84,389","94,846","91,653","96,618","100,814"
자본총계,"56,229","53,608","55,940","55,765","59,285","66,043"
  자본총계(지배),"56,229","53,608","55,940","55,895","59,835","67,225"
  자본총계(비지배),,,,,,
자본금,"3,539","3,539","4,439","4,440","4,440","4,440"
영업활동현금흐름,"-5,852","-2,000","7,621","-2,422","5,894","8,408"
투자활동현금흐름,"1,782","-2,010","1,517","-1,317","-2,584","-2,905"
재무활동현금흐름,"2,047","7,302",-926,"-2,347","-1,867","-1,381"
CAPEX,"1,594","2,262","2,440",958,"2,081","2,691"
FCF,"-7,446","-4,262","5,181",-78,"2,530","6,420"
이자발생부채,"39,111","45,630","34,846",,,
영업이익률,2.37,0.39,-9.63,-0.33,4.60,7.30
순이익률,-1.63,-5.19,-9.80,-0.93,3.03,5.13
ROE(%),,-7.86,-14.87,-1.65,6.08,10.87
ROA(%),,-3.12,-5.64,-0.62,2.32,4.28
부채비율,146.66,157.42,169.55,164.35,162.97,152.65
자본유보율,"1,281.57","1,168.48",962.02,,,
EPS(원),"-2,164","-6,096","-10,665","-1,042","3,965","7,776"
PER(배),,,N/A,N/A,31.65,16.14
BPS(원),"79,450","75,746","63,015","62,964","67,402","75,727"
PBR(배),0.00,0.00,1.51,1.99,1.86,1.66
현금DPS(원),0,0,,0,167,333
현금배당수익률,,,,0.00,0.13,0.27
현금배당성향(%),0.00,0.00,,,4.20,4.29
발행주식수(보통주),"70,773,116","70,773,116","88,773,116",,,
