주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,236,301,351,371,531
영업이익,-8,11,31,22,47
영업이익(발표기준),-8,11,31,22,47
세전계속사업이익,7,10,95,21,45
당기순이익,5,10,76,16,38
  당기순이익(지배),5,10,76,16,38
  당기순이익(비지배),,,,,
자산총계,353,350,434,448,481
부채총계,171,160,168,179,186
자본총계,182,190,266,269,295
  자본총계(지배),182,190,266,269,295
  자본총계(비지배),,,,,
자본금,50,50,50,50,50
영업활동현금흐름,-2,14,34,27,51
투자활동현금흐름,-2,-3,-81,-13,-26
재무활동현금흐름,5,-12,50,-13,-24
CAPEX,2,3,82,13,12
FCF,-4,11,-48,14,39
이자발생부채,37,25,81,84,79
영업이익률,-3.25,3.69,8.84,6.04,8.88
순이익률,2.27,3.18,21.51,4.34,7.16
ROE(%),2.99,5.15,,6.03,13.49
ROA(%),1.53,2.72,,3.66,8.19
부채비율,94.07,83.99,63.24,66.45,63.18
자본유보율,263.93,280.54,431.68,438.29,489.42
EPS(원),54,96,755,161,380
PER(배),30.60,23.44,5.16,24.00,17.86
BPS(원),"1,820","1,903","2,658","2,691","2,947"
PBR(배),0.90,1.18,1.47,1.44,2.30
현금DPS(원),0,0,100,125,175
현금배당수익률,0.00,0.00,2.56,3.23,2.58
현금배당성향(%),0.00,0.00,13.24,77.52,46.03
발행주식수(보통주),"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000"
