주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"4,922","4,898","5,066","5,207","5,387"
영업이익,404,178,258,267,110
영업이익(발표기준),404,178,258,267,110
세전계속사업이익,355,178,234,222,105
당기순이익,271,147,182,202,85
  당기순이익(지배),271,147,182,202,85
  당기순이익(비지배),,0,,,
자산총계,"5,779","6,142","6,065","6,133","6,667"
부채총계,"2,419","2,780","2,645","2,657","3,206"
자본총계,"3,360","3,362","3,420","3,476","3,461"
  자본총계(지배),"3,360","3,360","3,420","3,476","3,461"
  자본총계(비지배),,,,,
자본금,148,148,148,148,148
영업활동현금흐름,626,207,395,584,339
투자활동현금흐름,-777,-406,-196,-174,-753
재무활동현금흐름,76,225,-152,-241,365
CAPEX,699,517,261,207,383
FCF,-73,-310,133,377,-44
이자발생부채,"1,200","1,649","1,633","1,513","2,015"
영업이익률,8.21,3.63,5.10,5.13,2.05
순이익률,5.51,3.01,3.60,3.88,1.57
ROE(%),8.26,,5.37,5.85,2.44
ROA(%),4.91,,2.98,3.31,1.32
부채비율,72.02,82.69,77.34,76.43,92.66
자본유보율,"2,173.57","2,173.88","2,213.86","2,253.95","2,239.93"
EPS(원),"1,094",593,734,814,341
PER(배),19.38,21.74,19.06,25.26,79.95
BPS(원),"13,546","13,549","13,790","14,018","13,954"
PBR(배),1.56,0.95,1.02,1.47,1.95
현금DPS(원),500,500,500,500,500
현금배당수익률,2.36,3.88,3.57,2.43,1.83
현금배당성향(%),45.70,84.26,68.09,61.45,146.70
발행주식수(보통주),"24,800,000","24,800,000","24,800,000","24,800,000","24,800,000"
