주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"4,646","5,358","7,016","11,648","15,680","20,413","23,988","27,110"
영업이익,660,557,917,"2,928","5,373","6,658","8,003","9,409"
영업이익(발표기준),660,557,917,"2,928","5,373",,,
세전계속사업이익,"-1,160","3,030",672,"2,660","5,613","6,944","8,325","9,758"
당기순이익,-970,"2,241",496,"2,410","3,936","5,157","6,215","7,249"
  당기순이익(지배),-970,"2,241",496,"2,410","3,936","5,178","6,245","7,222"
  당기순이익(비지배),,,,,,,,
자산총계,"71,831","59,804","38,244","64,242","79,700","97,780","104,879","114,738"
부채총계,"32,066","18,249","10,866","18,254","29,789","34,786","33,173","34,799"
자본총계,"39,765","41,555","27,377","45,988","49,911","62,994","71,706","79,938"
  자본총계(지배),"39,765","41,555","27,377","45,988","49,911","67,117","77,074","84,273"
  자본총계(비지배),,,,,,,,
자본금,"1,654","1,654","1,654","1,654","1,654","1,726","1,737","1,745"
영업활동현금흐름,"1,498",-330,102,"2,021","4,546","7,640","7,930","9,236"
투자활동현금흐름,"2,652","-6,314","3,396","-4,187","-9,335","-12,300","-4,296","-2,661"
재무활동현금흐름,"-2,872","3,239","-2,398","1,226","4,966","13,986","-1,092",-503
CAPEX,"4,941","2,786","1,717","1,397","4,063","5,029","3,455","1,541"
FCF,"-3,443","-3,117","-1,616",624,483,-347,"3,510","6,725"
이자발생부채,"5,459","8,727","6,537","7,849","12,927",,,
영업이익률,14.20,10.39,13.08,25.14,34.27,32.62,33.37,34.71
순이익률,-20.87,41.83,7.07,20.69,25.10,25.26,25.91,26.74
ROE(%),-2.41,5.51,1.44,,8.21,8.85,8.66,8.95
ROA(%),-1.32,3.40,1.01,,5.47,5.81,6.13,6.60
부채비율,80.64,43.92,39.69,39.69,59.68,55.22,46.26,43.53
자본유보율,"2,306.38","2,416.40","1,564.97","2,684.75","2,922.69",,,
EPS(원),"-1,448","3,347",741,"3,599","5,878","7,404","8,774","10,146"
PER(배),N/A,114.13,577.28,226.84,151.83,106.03,89.47,77.37
BPS(원),"60,099","62,805","41,377","68,678","74,537","94,300","108,289","118,404"
PBR(배),6.17,6.15,10.46,11.89,11.97,8.32,7.25,6.63
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"66,961,660","66,961,660","66,961,660","66,961,660","66,961,660",,,
