주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,580,626,534,759,992
영업이익,30,21,-10,-10,11
영업이익(발표기준),30,21,-10,-10,11
세전계속사업이익,19,9,-24,-31,2
당기순이익,29,12,-25,-36,0
  당기순이익(지배),29,12,-25,-36,0
  당기순이익(비지배),,,,,
자산총계,677,708,775,920,944
부채총계,295,315,405,571,594
자본총계,381,393,369,349,350
  자본총계(지배),381,393,369,349,350
  자본총계(비지배),,,,,
자본금,238,238,238,238,238
영업활동현금흐름,64,6,24,-1,42
투자활동현금흐름,-61,-32,-79,-81,-48
재무활동현금흐름,-16,17,42,102,-10
CAPEX,49,21,64,69,43
FCF,15,-16,-41,-70,-1
이자발생부채,178,176,226,339,339
영업이익률,5.14,3.39,-1.86,-1.31,1.09
순이익률,5.01,1.84,-4.64,-4.77,-0.04
ROE(%),7.91,2.98,-6.50,-10.09,-0.12
ROA(%),4.33,1.69,-3.34,-4.28,-0.04
부채비율,77.48,80.20,109.78,163.41,169.98
자본유보율,33.84,38.65,28.57,12.80,12.62
EPS(원),61,24,-52,-76,-1
PER(배),43.49,86.44,N/A,N/A,N/A
BPS(원),800,825,775,733,734
PBR(배),3.32,2.54,2.71,3.79,3.36
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"47,646,375","47,646,375","47,646,375","47,646,375","47,646,375"
