주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,589","3,066","3,072","2,721","2,930"
영업이익,110,112,96,232,225
영업이익(발표기준),110,112,96,232,225
세전계속사업이익,652,145,162,336,265
당기순이익,470,101,91,287,196
  당기순이익(지배),470,101,91,285,179
  당기순이익(비지배),,0,0,2,17
자산총계,"3,672","3,706","3,764","4,338","4,478"
부채총계,703,732,766,911,877
자본총계,"2,969","2,974","2,997","3,427","3,601"
  자본총계(지배),"2,969","2,971","2,997","3,313","3,469"
  자본총계(비지배),,,,114,132
자본금,279,279,279,279,279
영업활동현금흐름,-165,-44,133,522,360
투자활동현금흐름,163,172,-112,-258,-254
재무활동현금흐름,-39,-38,-49,-55,-88
CAPEX,30,35,48,297,219
FCF,-195,-78,85,225,141
이자발생부채,0,0,69,168,126
영업이익률,4.24,3.66,3.11,8.51,7.68
순이익률,18.16,3.28,2.96,10.55,6.68
ROE(%),17.10,,3.06,9.04,5.27
ROA(%),13.59,,2.44,7.09,4.44
부채비율,23.67,24.61,25.57,26.59,24.34
자본유보율,955.79,967.43,976.07,"1,064.44","1,138.05"
EPS(원),"1,683",360,326,"1,021",640
PER(배),5.79,25.24,25.46,19.25,22.82
BPS(원),"10,756","10,761","10,856","11,999","12,534"
PBR(배),0.91,0.85,0.77,1.64,1.16
현금DPS(원),150,120,120,180,180
현금배당수익률,1.54,1.32,1.44,0.92,1.23
현금배당성향(%),8.81,32.90,36.34,17.43,27.88
발행주식수(보통주),"27,931,470","27,931,470","27,931,470","27,931,470","27,931,470"
