주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,978,990,666,"1,518","1,211"
영업이익,288,271,91,387,48
영업이익(발표기준),288,271,91,387,48
세전계속사업이익,251,251,-12,323,56
당기순이익,193,204,-18,247,48
  당기순이익(지배),193,204,-18,247,48
  당기순이익(비지배),,,,,
자산총계,"1,120","1,259","1,324","1,676","2,141"
부채총계,263,"1,831","1,913","1,327",973
자본총계,857,-572,-588,348,"1,168"
  자본총계(지배),857,-572,-588,348,"1,168"
  자본총계(비지배),,,,,
자본금,20,20,20,39,55
영업활동현금흐름,198,222,113,104,281
투자활동현금흐름,-128,-124,-5,-232,-233
재무활동현금흐름,-86,-62,-35,0,343
CAPEX,117,77,31,203,92
FCF,82,146,82,-100,188
이자발생부채,130,"1,005","1,046",451,56
영업이익률,29.44,27.35,13.72,25.50,3.95
순이익률,19.75,20.64,-2.69,16.28,3.99
ROE(%),24.54,,3.09,-206.06,6.38
ROA(%),17.87,,-1.39,16.47,2.53
부채비율,30.74,-320.15,-325.18,381.13,83.30
자본유보율,"4,184.78","5,212.55","5,121.95","4,928.32","4,969.59"
EPS(원),"1,931","2,039",-177,"1,746",196
PER(배),,,,,45.20
BPS(원),"8,570","-5,643","-5,803","1,769","4,221"
PBR(배),0.00,0.00,0.00,0.00,2.10
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"10,000,000","10,000,000","10,000,000","19,689,450","27,674,406"
