주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,537","2,541","2,319","2,424","2,862"
영업이익,35,34,78,147,208
영업이익(발표기준),35,34,78,147,208
세전계속사업이익,29,27,67,127,219
당기순이익,25,25,56,103,159
  당기순이익(지배),25,25,56,103,159
  당기순이익(비지배),,,,,
자산총계,"1,953","1,891","1,868","1,768","2,117"
부채총계,855,818,783,636,883
자본총계,"1,097","1,072","1,085","1,132","1,234"
  자본총계(지배),"1,097","1,072","1,085","1,132","1,234"
  자본총계(비지배),,,,,
자본금,100,100,120,120,120
영업활동현금흐름,137,149,221,330,157
투자활동현금흐름,92,-187,-75,68,-299
재무활동현금흐름,-124,-73,-113,-217,79
CAPEX,68,63,60,34,89
FCF,68,86,161,296,67
이자발생부채,493,470,417,263,395
영업이익률,1.39,1.32,3.37,6.07,7.29
순이익률,1.00,0.99,2.41,4.27,5.56
ROE(%),2.24,2.32,5.17,9.33,13.46
ROA(%),1.26,1.31,2.97,5.69,8.20
부채비율,77.94,76.31,72.19,56.17,71.56
자본유보율,997.42,990.92,819.59,866.55,951.21
EPS(원),105,105,233,431,664
PER(배),34.29,28.65,14.86,23.14,13.97
BPS(원),"4,573","4,544","4,597","4,855","5,290"
PBR(배),0.79,0.66,0.75,2.05,1.75
현금DPS(원),342,133,162,210,220
현금배당수익률,9.48,4.44,4.68,2.11,2.37
현금배당성향(%),325.06,124.79,68.31,47.36,32.22
발행주식수(보통주),"24,000,000","24,000,000","24,000,000","24,000,000","24,000,000"
