주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,452","1,654","1,839","1,516","1,304","1,355","1,410"
영업이익,87,79,93,101,81,128,150
영업이익(발표기준),87,79,93,101,81,,
세전계속사업이익,151,70,138,242,197,276,310
당기순이익,120,37,97,176,120,220,250
  당기순이익(지배),121,45,103,177,125,229,250
  당기순이익(비지배),-1,-7,-6,-1,-5,,
자산총계,"1,985","1,888","2,414","2,169","2,510","2,480","2,660"
부채총계,202,205,619,400,488,350,330
자본총계,"1,784","1,683","1,795","1,769","2,022","2,130","2,330"
  자본총계(지배),"1,781","1,676","1,793","1,758","1,980","2,120","2,330"
  자본총계(비지배),3,,2,11,42,,
자본금,455,455,455,455,455,460,460
영업활동현금흐름,93,-1,-8,10,135,80,120
투자활동현금흐름,-36,-24,94,-29,-239,100,100
재무활동현금흐름,-76,-49,-47,-63,13,-40,-40
CAPEX,18,28,28,28,3,20,20
FCF,75,-29,-36,-18,132,,
이자발생부채,0,0,15,22,20,,
영업이익률,6.02,4.77,5.05,6.66,6.25,9.45,10.64
순이익률,8.28,2.26,5.28,11.63,9.16,16.24,17.73
ROE(%),6.62,2.58,5.93,9.98,6.68,11.17,11.24
ROA(%),5.88,1.93,4.51,7.70,5.11,8.82,9.73
부채비율,11.31,12.20,34.52,22.59,24.14,16.43,14.16
자본유보율,349.98,349.56,361.75,390.56,409.72,,
EPS(원),"1,330",490,"1,129","1,947","1,372","2,516","2,747"
PER(배),10.98,32.64,10.58,5.78,8.68,5.09,4.66
BPS(원),"20,246","19,293","20,643","20,941","22,443","24,032","26,412"
PBR(배),0.72,0.83,0.58,0.54,0.53,0.53,0.48
현금DPS(원),500,500,500,500,500,500,500
현금배당수익률,3.42,3.13,4.18,4.44,4.20,3.91,3.91
현금배당성향(%),36.35,97.36,42.26,23.69,35.33,19.87,18.20
발행주식수(보통주),"9,100,836","9,100,836","9,100,836","9,100,836","9,100,836",,
