주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"4,456","3,583","3,630","3,007","3,479","3,350","5,480"
영업이익,279,-77,-92,-193,163,159,450
영업이익(발표기준),279,-77,-92,-193,163,,
세전계속사업이익,300,-14,5,-75,186,311,610
당기순이익,249,-13,-3,-63,215,240,480
  당기순이익(지배),237,-13,-3,-63,215,243,480
  당기순이익(비지배),12,0,0,0,0,,
자산총계,"4,608","3,522","3,485","3,560","4,379","4,030","4,620"
부채총계,"1,772",752,699,835,"1,392",830,940
자본총계,"2,836","2,770","2,786","2,725","2,987","3,200","3,680"
  자본총계(지배),"2,836","2,770","2,786","2,725","2,987","3,200","3,680"
  자본총계(비지배),0,,0,0,0,,
자본금,90,90,90,90,90,90,90
영업활동현금흐름,384,365,228,-259,389,660,690
투자활동현금흐름,-790,315,185,-171,-780,-980,-540
재무활동현금흐름,552,-943,-91,173,344,-20,-10
CAPEX,768,298,513,207,613,,
FCF,-384,67,-285,-466,-224,-540,160
이자발생부채,"1,138",313,266,433,936,,
영업이익률,6.26,-2.15,-2.52,-6.42,4.69,4.75,8.21
순이익률,5.59,-0.36,-0.08,-2.11,6.19,7.16,8.76
ROE(%),8.48,-0.46,-0.10,-2.30,7.54,7.85,13.95
ROA(%),5.61,-0.32,-0.08,-1.80,5.42,5.71,11.10
부채비율,62.46,27.17,25.07,30.66,46.59,25.94,25.54
자본유보율,"3,190.93","3,123.26","3,081.77","3,042.00","3,269.78",,
EPS(원),"1,322",-72,-16,-354,"1,203","1,245","2,429"
PER(배),20.16,N/A,N/A,N/A,20.82,23.89,12.25
BPS(원),"16,853","16,457","16,555","16,189","17,751","17,120","19,687"
PBR(배),1.58,0.72,0.64,1.41,1.41,1.74,1.51
현금DPS(원),450,200,0,0,,0,0
현금배당수익률,1.69,1.69,0.00,0.00,,0.00,0.00
현금배당성향(%),32.00,-262.32,0.00,0.00,,,
발행주식수(보통주),"17,900,000","17,900,000","17,900,000","17,900,000","17,900,000",,
