주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"18,690","72,712","88,562","90,866","99,249","132,515","139,423"
영업이익,-68,984,"1,749","1,562","2,164","5,040","5,492"
영업이익(발표기준),-68,984,"1,749","1,562","2,164",,
세전계속사업이익,"5,174","3,386","-5,462","-2,901",695,"3,510","4,880"
당기순이익,"4,953","1,107","-4,116","-2,389","1,504","2,660","3,710"
  당기순이익(지배),"4,688","1,851","-3,595","-1,984","3,086","2,440","3,400"
  당기순이익(비지배),265,-744,-521,-404,"-1,582",,
자산총계,"218,971","276,183","156,058","166,800","199,219","185,440","198,040"
부채총계,"144,072","191,849","78,132","88,489","102,926","107,230","117,580"
자본총계,"74,898","84,335","77,925","78,311","96,293","78,210","80,460"
  자본총계(지배),"61,148","71,130","66,998","64,172","69,790",,
  자본총계(비지배),"13,751",,"10,927","14,139","26,503",,
자본금,149,212,212,212,212,210,210
영업활동현금흐름,"-6,840","-8,267","6,541","3,826","6,005","-11,820","12,940"
투자활동현금흐름,"13,058","-22,480","8,478","-8,198",720,"3,390","-6,550"
재무활동현금흐름,"-3,272","34,136","-21,642","6,895","-2,475","1,930","2,860"
CAPEX,612,"2,397","2,632","3,876","4,588","4,010","4,130"
FCF,"-7,452","-10,663","3,910",-50,"1,416","-16,040","8,590"
이자발생부채,"98,120","50,454","46,813","52,353","68,389",,
영업이익률,-0.36,1.35,1.97,1.72,2.18,3.80,3.94
순이익률,26.50,1.52,-4.65,-2.63,1.52,2.01,2.66
ROE(%),10.96,2.80,-5.21,-3.03,4.61,,
ROA(%),3.83,0.45,-1.90,-1.48,0.82,1.38,1.93
부채비율,192.36,227.48,100.27,113.00,106.89,137.11,146.13
자본유보율,"50,440.01","48,528.98","43,217.52","42,551.94","44,037.03",,
EPS(원),"10,602","1,746","-3,395","-1,874","2,914","2,307","3,216"
PER(배),6.14,30.18,N/A,N/A,10.26,15.13,10.85
BPS(원),"100,791","99,465","93,687","89,735","97,590",,
PBR(배),0.65,0.53,0.42,0.39,0.31,,
현금DPS(원),0,800,"1,100","1,000","1,500","1,600","1,800"
현금배당수익률,0.00,1.52,2.82,2.83,5.02,4.58,5.16
현금배당성향(%),0.00,30.93,-21.89,-36.06,34.78,68.79,55.54
발행주식수(보통주),"73,683,000","104,909,237","104,909,237","104,909,237","104,909,237",,
