주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"23,811","24,446","26,826","28,573","28,022","30,440","31,910"
영업이익,"2,246","1,777","1,936","3,065","2,607","2,850","3,150"
영업이익(발표기준),"2,246","1,777","1,936","3,065","2,607",,
세전계속사업이익,"2,202",903,749,"3,066","2,236","2,410","2,720"
당기순이익,"1,678",710,514,"2,436","1,715","1,830","2,070"
  당기순이익(지배),"1,668",691,448,"2,406","1,692","1,810","2,040"
  당기순이익(비지배),10,19,66,30,23,,
자산총계,"25,603","25,922","29,860","31,060","30,519","32,510","34,710"
부채총계,"16,566","16,186","19,076","18,109","15,650","15,940","16,190"
자본총계,"9,037","9,736","10,785","12,951","14,869","16,570","18,520"
  자본총계(지배),"9,061","9,750","10,398","12,508","14,370","16,020","17,900"
  자본총계(비지배),-23,,386,443,499,,
자본금,168,168,184,184,184,180,180
영업활동현금흐름,"2,811",528,"1,932","4,022","3,330","2,390","2,710"
투자활동현금흐름,"-4,175",-663,-500,"-1,305",-925,-410,-360
재무활동현금흐름,-169,-898,-900,"-2,130","-2,596",-680,-650
CAPEX,"1,546",707,871,708,614,,
FCF,"1,265",-179,"1,062","3,314","2,716","2,610","2,800"
이자발생부채,"11,389","11,080","12,051","12,719","9,923",,
영업이익률,9.43,7.27,7.22,10.73,9.30,9.36,9.87
순이익률,7.05,2.90,1.92,8.53,6.12,6.01,6.49
ROE(%),19.65,7.35,4.45,21.01,12.59,11.91,12.03
ROA(%),7.52,2.76,1.84,8.00,5.57,5.81,6.16
부채비율,183.31,166.25,176.88,139.82,105.26,96.20,87.42
자본유보율,"5,467.56","5,695.52","5,781.60","7,050.20","7,873.61",,
EPS(원),"49,609","20,549","12,632","65,430","46,009","6,094","3,224"
PER(배),6.77,9.88,16.74,3.40,4.93,39.22,74.12
BPS(원),"269,402","289,909","282,744","366,689","421,286","25,429","28,413"
PBR(배),1.25,0.70,0.75,0.61,0.54,9.40,8.41
현금DPS(원),"4,000","3,000","2,000","5,000","5,000","5,000","5,000"
현금배당수익률,1.19,1.48,0.95,2.25,2.20,2.09,2.09
현금배당성향(%),8.06,14.60,16.41,7.09,10.08,10.16,9.01
발행주식수(보통주),"3,363,200","3,363,200","3,677,641","3,677,641","3,677,641",,
