주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,269","2,829","2,515","5,698","9,334"
영업이익,80,53,156,284,553
영업이익(발표기준),80,53,156,284,553
세전계속사업이익,25,40,115,166,505
당기순이익,25,29,82,117,325
  당기순이익(지배),25,29,82,128,338
  당기순이익(비지배),,,,-11,-13
자산총계,"1,765","1,817","1,995","4,054","6,272"
부채총계,"1,234","1,262",872,"2,779","3,906"
자본총계,531,556,"1,123","1,275","2,366"
  자본총계(지배),531,556,"1,123","1,251","2,355"
  자본총계(비지배),,,,24,12
자본금,20,20,34,97,132
영업활동현금흐름,83,44,-69,419,-195
투자활동현금흐름,-117,-23,-80,-386,-860
재무활동현금흐름,34,-21,174,62,"1,028"
CAPEX,105,58,91,418,"1,017"
FCF,-22,-14,-160,1,"-1,212"
이자발생부채,768,766,459,"1,375","1,717"
영업이익률,3.54,1.87,6.19,4.99,5.93
순이익률,1.11,1.04,3.27,2.05,3.48
ROE(%),5.14,5.41,9.80,10.65,18.76
ROA(%),1.45,1.64,4.32,3.37,6.29
부채비율,232.32,227.08,77.69,217.93,165.06
자본유보율,"2,059.71","2,210.51","2,872.23","1,081.80","1,578.66"
EPS(원),215,251,445,625,"1,388"
PER(배),,,,,13.33
BPS(원),"4,539","4,748","5,484","5,229","8,901"
PBR(배),0.00,0.00,0.00,0.00,2.08
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,2.96,1.53,
발행주식수(보통주),"11,700,000","11,700,000","11,700,000","19,424,554","26,452,189"
