주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"5,733","6,712","5,465","3,772","4,442"
영업이익,416,351,280,147,433
영업이익(발표기준),416,351,280,147,433
세전계속사업이익,218,61,243,142,495
당기순이익,218,61,203,204,534
  당기순이익(지배),218,61,203,204,534
  당기순이익(비지배),,,,,
자산총계,"3,136","3,662","3,258","2,829","3,346"
부채총계,"2,377","2,874","2,284","1,641","1,637"
자본총계,759,788,974,"1,188","1,710"
  자본총계(지배),759,788,974,"1,188","1,710"
  자본총계(비지배),,,,,
자본금,733,733,733,733,733
영업활동현금흐름,-114,243,-439,412,514
투자활동현금흐름,-18,-585,337,-154,-308
재무활동현금흐름,369,-2,-18,-241,-12
CAPEX,2,1,2,1,6
FCF,-116,242,-441,411,508
이자발생부채,229,237,242,21,19
영업이익률,7.26,5.22,5.13,3.89,9.76
순이익률,3.81,0.90,3.72,5.41,12.02
ROE(%),66.29,7.83,23.08,18.86,36.86
ROA(%),7.09,1.78,5.88,6.70,17.30
부채비율,313.32,364.75,234.47,138.05,95.74
자본유보율,-11.68,-1.16,24.30,52.67,123.80
EPS(원),164,41,139,139,364
PER(배),11.68,49.98,16.65,18.65,5.98
BPS(원),518,538,665,811,"1,166"
PBR(배),3.70,3.84,3.48,3.20,1.87
현금DPS(원),0,,,,
현금배당수익률,0.00,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"145,353,082","145,471,745","145,471,745","145,471,745","145,471,745"
