주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"4,245","4,813","4,854","4,840","6,289"
영업이익,142,83,61,174,156
영업이익(발표기준),142,83,61,174,156
세전계속사업이익,171,77,-21,139,168
당기순이익,99,43,-77,64,113
  당기순이익(지배),97,44,-76,65,113
  당기순이익(비지배),1,-1,-1,-2,-1
자산총계,"2,848","3,073","2,928","3,165","3,421"
부채총계,"1,381","1,596","1,541","1,725","1,882"
자본총계,"1,467","1,477","1,387","1,440","1,539"
  자본총계(지배),"1,469","1,479","1,390","1,445","1,545"
  자본총계(비지배),-1,,-3,-5,-6
자본금,33,33,33,33,63
영업활동현금흐름,62,-89,215,171,-63
투자활동현금흐름,-118,-123,-49,-78,-187
재무활동현금흐름,78,185,-99,3,131
CAPEX,20,50,78,30,188
FCF,41,-138,137,141,-251
이자발생부채,728,958,923,940,"1,107"
영업이익률,3.35,1.72,1.26,3.60,2.47
순이익률,2.33,0.89,-1.58,1.31,1.79
ROE(%),6.80,2.99,-5.29,4.59,7.59
ROA(%),3.61,1.45,-2.56,2.08,3.42
부채비율,94.09,108.04,111.11,119.76,122.26
자본유보율,"4,433.87","4,519.12","4,255.90","4,434.46","2,402.67"
EPS(원),766,347,-598,513,894
PER(배),6.52,20.09,N/A,10.24,12.64
BPS(원),"11,665","11,939","11,221","11,762","12,581"
PBR(배),0.43,0.58,0.48,0.45,0.90
현금DPS(원),103,77,77,83,110
현금배당수익률,2.07,1.11,1.44,1.57,0.97
현금배당성향(%),13.26,21.30,-12.35,15.09,11.91
발행주식수(보통주),"12,694,120","12,694,120","12,694,120","12,694,120","12,694,120"
