주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,"1,393","1,528","1,663","1,773","1,964","2,207","2,508"
영업이익,319,336,336,317,360,440,503
영업이익(발표기준),319,336,336,317,360,,
세전계속사업이익,310,323,349,285,358,443,506
당기순이익,243,262,283,149,280,346,395
  당기순이익(지배),243,262,283,149,280,346,395
  당기순이익(비지배),0,0,,,,,
자산총계,"1,416","2,424","2,630","2,766","3,035","3,424","3,785"
부채총계,603,370,427,442,516,757,811
자본총계,813,"2,054","2,203","2,324","2,519","2,667","2,974"
  자본총계(지배),809,"2,054","2,203","2,324","2,519","2,667","2,974"
  자본총계(비지배),4,,,,,,
자본금,61,81,81,81,89,89,89
영업활동현금흐름,254,276,317,156,257,340,491
투자활동현금흐름,-128,-979,-191,-8,-355,-108,-118
재무활동현금흐름,-10,744,-147,-92,-41,112,-88
CAPEX,20,32,328,146,337,66,75
FCF,234,243,-11,10,-80,,
이자발생부채,290,46,55,45,108,,
영업이익률,22.92,21.96,20.18,17.87,18.33,19.94,20.06
순이익률,17.44,17.12,17.02,8.40,14.26,15.68,15.75
ROE(%),35.63,18.28,13.30,6.58,11.57,13.34,14.01
ROA(%),18.98,13.64,11.20,5.52,9.66,10.71,10.96
부채비율,74.11,18.01,19.38,19.02,20.48,28.38,27.27
자본유보율,"1,199.92","2,440.01","2,727.68","2,823.05","2,785.40",,
EPS(원),"2,041","1,797","1,593",838,"1,576","1,947","2,222"
PER(배),,11.42,12.91,28.03,12.78,9.94,8.71
BPS(원),"6,088","11,630","12,734","13,431","14,561","15,417","17,191"
PBR(배),0.00,1.76,1.62,1.75,1.38,1.26,1.13
현금DPS(원),226,255,419,465,510,510,510
현금배당수익률,,1.24,2.04,1.98,2.53,2.64,2.64
현금배당성향(%),12.37,17.23,25.56,53.86,31.49,26.20,22.95
발행주식수(보통주),"13,295,195","17,772,946","17,772,946","17,772,946","17,772,946",,
