주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"8,586","9,656","12,799","17,346","20,103","18,188","20,915","21,292"
영업이익,838,909,"1,430","2,034","2,296","1,431","2,030","1,975"
영업이익(발표기준),838,909,"1,430","2,034","2,296",,,
세전계속사업이익,869,883,"1,319","1,932","2,251","1,381","1,983","1,895"
당기순이익,646,645,951,"1,493","1,756","1,065","1,517","1,432"
  당기순이익(지배),646,645,951,"1,493","1,756","1,065","1,517","1,432"
  당기순이익(비지배),,,,,,,,
자산총계,"7,718","7,961","8,517","14,984","16,696","16,850","18,527","19,360"
부채총계,"4,492","4,285","3,939","6,965","7,117","6,363","6,643","6,820"
자본총계,"3,226","3,676","4,578","8,019","9,579","10,487","11,883","12,540"
  자본총계(지배),"3,226","3,676","4,578","8,019","9,579","10,487","11,883","12,540"
  자본총계(비지배),,,,,,,,
자본금,759,759,759,"1,165","1,165","1,170","1,170","1,170"
영업활동현금흐름,583,871,"1,263","1,591",804,"1,043","1,560","1,410"
투자활동현금흐름,"1,009",65,-435,"1,679",-740,63,-257,-210
재무활동현금흐름,0,-941,-990,-776,84,-187,-147,-170
CAPEX,2,5,7,17,13,10,10,0
FCF,582,867,"1,256","1,574",790,"1,010","1,650",
이자발생부채,"1,858",911,57,"1,125","1,540",,,
영업이익률,9.76,9.41,11.17,11.72,11.42,7.87,9.70,9.28
순이익률,7.52,6.68,7.43,8.61,8.73,5.86,7.25,6.73
ROE(%),22.24,18.70,23.04,23.71,19.95,10.62,13.56,11.73
ROA(%),8.55,8.23,11.54,12.71,11.08,6.35,8.58,7.56
부채비율,139.26,116.55,86.03,86.87,74.30,60.68,55.90,54.39
자본유보율,320.72,384.68,503.53,588.16,722.13,,,
EPS(원),"4,256","4,251","6,265","7,750","7,532","4,571","6,509","6,144"
PER(배),3.52,3.39,3.17,3.94,3.60,5.20,3.65,3.87
BPS(원),"21,251","24,218","30,162","34,409","41,105","45,000","50,994","53,812"
PBR(배),0.71,0.59,0.66,0.89,0.66,0.53,0.47,0.44
현금DPS(원),0,250,400,550,750,617,617,550
현금배당수익률,0.00,1.74,2.02,1.80,2.76,2.60,2.60,2.32
현금배당성향(%),0.00,5.88,6.38,12.14,10.27,12.77,8.96,8.47
발행주식수(보통주),"15,179,766","15,179,766","15,179,766","22,053,284","22,053,284",,,
