주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,558","1,686","1,730","1,571","2,486"
영업이익,45,-21,-73,-42,296
영업이익(발표기준),45,-21,-73,-42,296
세전계속사업이익,97,-95,-118,-39,286
당기순이익,94,-82,-109,-48,255
  당기순이익(지배),96,-75,-107,-49,256
  당기순이익(비지배),-3,-7,-2,1,0
자산총계,"3,199","3,122","3,194","2,951","3,387"
부채총계,"1,558","1,508","1,703","1,463","1,610"
자본총계,"1,641","1,614","1,491","1,488","1,778"
  자본총계(지배),"1,612","1,588","1,470","1,467","1,754"
  자본총계(비지배),29,25,20,21,24
자본금,102,112,112,124,133
영업활동현금흐름,38,41,29,89,-16
투자활동현금흐름,-113,-78,-184,118,-125
재무활동현금흐름,103,4,205,-193,141
CAPEX,115,70,37,11,23
FCF,-77,-29,-8,77,-39
이자발생부채,"1,003",955,"1,178",944,"1,095"
영업이익률,2.88,-1.22,-4.23,-2.70,11.92
순이익률,6.01,-4.87,-6.29,-3.05,10.26
ROE(%),6.16,-4.66,-6.98,-3.30,15.87
ROA(%),3.02,-2.60,-3.45,-1.56,8.05
부채비율,94.95,93.48,114.26,98.31,90.56
자본유보율,"1,514.12","1,347.49","1,246.99","1,107.05","1,236.00"
EPS(원),473,-346,-478,-211,962
PER(배),5.59,N/A,N/A,N/A,2.78
BPS(원),"8,929","7,949","7,359","6,508","7,201"
PBR(배),0.30,0.24,0.28,0.29,0.37
현금DPS(원),35,0,0,0,50
현금배당수익률,1.32,0.00,0.00,0.00,1.87
현금배당성향(%),6.55,0.00,0.00,0.00,4.76
발행주식수(보통주),"20,400,000","22,322,330","22,322,330","24,882,353","26,697,460"
