주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"3,132","3,163","3,237","2,776","4,063"
영업이익,136,126,175,187,354
영업이익(발표기준),136,126,175,187,354
세전계속사업이익,162,137,244,234,444
당기순이익,125,94,177,197,331
  당기순이익(지배),125,94,177,197,331
  당기순이익(비지배),,,0,0,0
자산총계,"2,808","2,731","2,954","3,118","3,476"
부채총계,329,321,374,347,456
자본총계,"2,479","2,410","2,579","2,771","3,020"
  자본총계(지배),"2,479","2,410","2,579","2,771","3,020"
  자본총계(비지배),,,0,0,0
자본금,87,87,87,87,87
영업활동현금흐름,-45,121,65,382,152
투자활동현금흐름,149,5,42,-38,-306
재무활동현금흐름,-94,-68,-88,-44,-34
CAPEX,47,91,80,41,17
FCF,-91,30,-15,340,136
이자발생부채,0,19,22,23,25
영업이익률,4.34,3.98,5.40,6.74,8.72
순이익률,3.98,2.99,5.48,7.09,8.16
ROE(%),5.07,3.86,,7.36,11.45
ROA(%),4.45,3.41,,6.48,10.05
부채비율,13.28,13.33,14.51,12.52,15.10
자본유보율,"2,812.42","2,804.25","3,069.75","3,260.41","3,604.51"
EPS(원),"7,171","5,428","10,189","11,312","19,049"
PER(배),11.97,14.09,7.79,5.68,4.15
BPS(원),"149,413","151,975","168,403","183,166","199,594"
PBR(배),0.57,0.50,0.47,0.35,0.40
현금DPS(원),"1,700","1,600","2,000","2,100","2,500"
현금배당수익률,1.98,2.09,2.52,3.27,3.16
현금배당성향(%),22.61,26.87,17.28,16.15,11.41
발행주식수(보통주),"1,739,672","1,739,672","1,739,672","1,739,672","1,739,672"
