주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,86,110,143,212,320
영업이익,50,72,105,170,180
영업이익(발표기준),50,72,105,170,180
세전계속사업이익,32,43,69,144,147
당기순이익,25,33,54,112,115
  당기순이익(지배),25,33,54,112,115
  당기순이익(비지배),,,,,0
자산총계,"1,490","2,022","2,108","2,295","2,489"
부채총계,875,"1,383","1,423","1,508","1,614"
자본총계,616,639,685,786,875
  자본총계(지배),616,639,685,786,864
  자본총계(비지배),,,,,12
자본금,433,442,451,462,462
영업활동현금흐름,-98,-475,27,17,39
투자활동현금흐름,-2,-1,-42,-35,-51
재무활동현금흐름,97,431,12,49,-42
CAPEX,0,1,1,0,0
FCF,-98,-475,26,17,39
이자발생부채,685,"1,125","1,146","1,206","1,207"
영업이익률,58.03,65.39,72.97,80.16,56.25
순이익률,28.95,30.31,37.93,52.66,35.94
ROE(%),4.15,5.33,8.22,15.17,
ROA(%),1.75,1.90,2.63,5.07,
부채비율,142.07,216.48,207.88,191.80,184.37
자본유보율,41.57,44.39,51.66,69.66,86.50
EPS(원),53,70,113,232,239
PER(배),17.11,15.53,8.15,4.88,5.90
BPS(원),"1,281","1,329","1,424","1,636","1,808"
PBR(배),0.71,0.81,0.65,0.69,0.78
현금DPS(원),18,18,23,77,38
현금배당수익률,1.99,1.70,2.54,6.80,2.73
현금배당성향(%),34.96,26.44,20.72,33.14,16.00
발행주식수(보통주),"48,060,774","48,060,774","48,060,774","48,060,774","48,060,774"
