주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,598","3,476","4,461","3,944","5,932"
영업이익,-228,139,221,88,95
영업이익(발표기준),-228,139,221,88,95
세전계속사업이익,"-2,106",137,163,-119,-64
당기순이익,"-2,047",186,235,62,-67
  당기순이익(지배),"-2,047",186,235,62,-67
  당기순이익(비지배),,,,,
자산총계,"2,554","2,764","4,812","4,582","6,056"
부채총계,344,375,"1,633","1,295","2,852"
자본총계,"2,210","2,389","3,179","3,287","3,203"
  자본총계(지배),"2,210","2,389","3,179","3,287","3,203"
  자본총계(비지배),,,,,
자본금,400,400,560,560,560
영업활동현금흐름,731,-405,163,-97,365
투자활동현금흐름,-54,-212,-625,133,-337
재무활동현금흐름,,,803,435,133
CAPEX,47,108,201,248,275
FCF,684,-514,-39,-345,90
이자발생부채,0,0,246,663,842
영업이익률,-8.77,4.00,4.95,2.23,1.60
순이익률,-78.79,5.36,5.28,1.58,-1.12
ROE(%),-63.30,8.09,,1.93,-2.05
ROA(%),-56.16,7.00,,1.32,-1.25
부채비율,15.57,15.72,51.38,39.39,89.05
자본유보율,452.60,497.13,467.63,479.00,463.80
EPS(원),"-25,588","2,327","2,788",556,-594
PER(배),,,6.19,71.71,N/A
BPS(원),"27,630","29,856","28,380","29,352","28,600"
PBR(배),0.00,0.00,0.61,1.36,0.75
현금DPS(원),0,0,0,200,
현금배당수익률,,,0.00,0.50,
현금배당성향(%),0.00,0.00,0.00,35.99,
발행주식수(보통주),"8,000,000","8,000,000","11,200,000","11,200,000","11,200,000"
