주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"4,902","4,337","4,486","4,317","4,331","4,754","5,349","5,989"
영업이익,329,215,441,296,101,434,515,579
영업이익(발표기준),329,215,441,296,101,,,
세전계속사업이익,480,198,343,265,177,486,584,640
당기순이익,325,129,264,202,165,365,438,480
  당기순이익(지배),325,129,264,202,165,365,438,480
  당기순이익(비지배),,,,,,,,
자산총계,"7,622","7,715","7,352","7,003","7,055","7,045","7,240","7,486"
부채총계,"3,051","3,101","2,430","2,012","1,921","1,641","1,529","1,448"
자본총계,"4,570","4,614","4,922","4,991","5,135","5,404","5,711","6,038"
  자본총계(지배),"4,570","4,614","4,922","4,991","5,135","5,404","5,711","6,038"
  자본총계(비지배),,,,,,,,
자본금,76,76,76,76,76,76,76,76
영업활동현금흐름,626,810,271,168,-158,-26,412,471
투자활동현금흐름,-86,-506,472,-339,190,146,145,145
재무활동현금흐름,-569,-174,-364,-131,-121,-104,-195,-232
CAPEX,14,12,24,42,16,30,29,29
FCF,612,799,247,126,-174,,,
이자발생부채,391,300,9,16,18,,,
영업이익률,6.71,4.96,9.82,6.85,2.34,9.13,9.63,9.67
순이익률,6.62,2.98,5.88,4.67,3.80,7.68,8.19,8.02
ROE(%),7.48,2.82,5.54,,3.25,6.93,7.88,8.17
ROA(%),4.22,1.69,3.50,,2.34,5.18,6.13,6.52
부채비율,66.76,67.21,49.37,40.32,37.41,30.37,26.77,23.98
자본유보율,"6,011.37","6,075.58","6,478.92","6,568.51","6,756.73",,,
EPS(원),849,338,691,527,430,955,"1,146","1,256"
PER(배),28.03,61.75,29.03,33.84,197.46,76.75,63.96,58.37
BPS(원),"12,013","12,128","12,938","13,119","13,496","14,205","15,012","15,871"
PBR(배),1.98,1.72,1.55,1.36,6.30,5.16,4.88,4.62
현금DPS(원),220,140,310,282,238,477,573,628
현금배당수익률,0.92,0.67,1.55,1.58,0.28,0.65,0.78,0.86
현금배당성향(%),25.79,41.17,44.68,53.22,55.03,49.95,50.00,50.00
발행주식수(보통주),"38,220,000","38,220,000","38,220,000","38,220,000","38,220,000",,,
