주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"4,147","4,324","4,335","4,395","4,714","5,110","5,500"
영업이익,216,99,-38,96,85,280,340
영업이익(발표기준),216,99,-38,96,85,,
세전계속사업이익,185,119,-24,26,29,300,370
당기순이익,134,84,-17,13,-15,220,
  당기순이익(지배),108,79,-28,-15,-45,210,260
  당기순이익(비지배),25,5,11,28,30,,
자산총계,"4,516","4,746","4,627","4,644","5,054","5,580",
부채총계,"1,598","1,789","1,712","1,727","2,151","2,460",
자본총계,"2,918","2,957","2,915","2,918","2,903","3,120",
  자본총계(지배),"2,327","2,374","2,324","2,305","2,295","2,510",
  자본총계(비지배),592,,591,613,608,,
자본금,343,343,343,343,343,340,
영업활동현금흐름,169,-49,149,234,74,410,
투자활동현금흐름,-166,-439,-264,-225,-824,"-1,230",
재무활동현금흐름,-96,281,-30,9,290,120,
CAPEX,222,401,284,250,269,500,
FCF,-53,-450,-135,-17,-195,,
이자발생부채,487,808,816,816,"1,174",,
영업이익률,5.22,2.29,-0.88,2.19,1.81,5.48,6.18
순이익률,3.22,1.95,-0.40,0.29,-0.32,4.30,
ROE(%),4.74,3.37,-1.18,-0.67,-1.97,8.74,
ROA(%),2.94,1.82,-0.37,0.27,-0.31,4.14,
부채비율,54.76,60.48,58.71,59.19,74.10,78.85,
자본유보율,644.66,660.65,645.76,646.22,641.49,,
EPS(원),158,115,-40,-23,-66,306,379
PER(배),25.37,21.23,N/A,N/A,N/A,11.70,9.45
BPS(원),"3,997","4,078","3,992","4,067","4,049","4,429",
PBR(배),1.00,0.60,0.48,0.62,0.97,0.81,
현금DPS(원),25,15,0,7,10,10,
현금배당수익률,0.63,0.61,0.00,0.28,0.26,0.28,
현금배당성향(%),13.46,11.04,0.00,-25.66,-12.49,3.26,
발행주식수(보통주),"68,560,000","68,560,000","68,560,000","68,560,000","68,560,000",,
