주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"7,732","9,140","8,177","8,603","10,790","11,505","11,142","11,743"
영업이익,187,51,126,745,"1,844","2,072","1,836","1,953"
영업이익(발표기준),187,51,126,745,"1,844",,,
세전계속사업이익,203,79,274,-657,"1,922","2,132","1,911","2,070"
당기순이익,159,58,209,-578,"1,448","1,610","1,440","1,546"
  당기순이익(지배),150,49,197,-631,"1,361","1,514","1,357","1,454"
  당기순이익(비지배),9,10,12,53,87,,,
자산총계,"10,920","9,576","12,478","11,691","14,622","16,100","17,186","18,705"
부채총계,"5,290","3,892","6,006","5,980","7,406","7,442","7,255","7,338"
자본총계,"5,630","5,685","6,471","5,711","7,216","8,656","9,931","11,367"
  자본총계(지배),"5,554","5,600","5,804","5,155","6,572","7,919","9,109","10,439"
  자본총계(비지배),76,,667,556,644,,,
자본금,913,913,913,913,913,911,911,911
영업활동현금흐름,817,551,-610,665,"1,401","1,591","1,674","1,500"
투자활동현금흐름,"-1,158",-59,139,-476,"-1,417",-189,-367,-557
재무활동현금흐름,398,-486,"1,254",-543,-24,-401,-365,-148
CAPEX,238,202,121,85,148,210,212,165
FCF,578,349,-731,580,"1,253","1,428","1,550","1,444"
이자발생부채,"2,299","1,861","3,241","2,978","2,974",,,
영업이익률,2.41,0.56,1.54,8.66,17.09,18.01,16.48,16.63
순이익률,2.05,0.64,2.56,-6.72,13.42,13.99,12.92,13.17
ROE(%),2.74,0.87,3.45,-11.52,23.21,20.90,15.94,14.87
ROA(%),1.60,0.57,1.90,-4.78,11.01,10.48,8.65,8.62
부채비율,93.97,68.46,92.82,104.70,102.63,85.98,73.05,64.56
자본유보율,524.64,531.09,545.85,474.35,629.60,,,
EPS(원),824,267,"1,079","-3,459","7,456","8,297","7,436","7,964"
PER(배),31.38,74.96,19.27,N/A,6.62,6.23,6.95,6.49
BPS(원),"31,395","31,654","32,810","29,138","37,150","44,763","51,492","59,011"
PBR(배),0.82,0.63,0.63,0.81,1.33,1.15,1.00,0.88
현금DPS(원),250,0,150,0,"1,000","1,025","1,025","1,062"
현금배당수익률,0.97,0.00,0.72,0.00,2.03,1.98,1.98,2.06
현금배당성향(%),29.42,0.00,13.47,0.00,13.00,12.35,13.79,13.34
발행주식수(보통주),"18,252,582","18,252,582","18,252,582","18,252,582","18,252,582",,,
