주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,987","3,396","2,797","2,569","2,768"
영업이익,160,237,96,58,321
영업이익(발표기준),160,237,96,58,321
세전계속사업이익,99,120,31,15,214
당기순이익,54,65,10,17,117
  당기순이익(지배),53,62,8,17,117
  당기순이익(비지배),1,3,2,,
자산총계,"4,393","4,342","4,226","3,832","4,193"
부채총계,"2,859","2,537","2,441","2,107","2,295"
자본총계,"1,533","1,805","1,785","1,725","1,898"
  자본총계(지배),"1,523","1,791","1,785","1,725","1,898"
  자본총계(비지배),10,,0,,
자본금,469,548,548,548,548
영업활동현금흐름,416,337,80,160,164
투자활동현금흐름,-52,-81,-47,-89,-135
재무활동현금흐름,-438,-182,-106,-113,43
CAPEX,98,67,81,35,131
FCF,318,270,-1,124,33
이자발생부채,"1,599","1,410","1,451","1,343","1,431"
영업이익률,5.36,6.98,3.44,2.27,11.61
순이익률,1.82,1.92,0.36,0.66,4.21
ROE(%),3.42,3.73,0.44,0.96,6.44
ROA(%),1.20,1.49,0.24,0.42,2.91
부채비율,186.47,140.57,136.80,122.16,120.87
자본유보율,244.97,237.49,233.27,232.64,248.14
EPS(원),570,637,71,154,"1,065"
PER(배),16.72,16.10,104.16,69.52,10.75
BPS(원),"16,514","16,661","16,664","16,138","17,759"
PBR(배),0.58,0.62,0.45,0.66,0.64
현금DPS(원),250,200,200,200,200
현금배당수익률,2.63,1.95,2.69,1.87,1.75
현금배당성향(%),43.33,34.79,274.15,126.83,18.33
발행주식수(보통주),"9,373,525","10,952,635","10,952,635","10,952,635","10,952,635"
