주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,188,210,207,207,223
영업이익,73,56,62,46,76
영업이익(발표기준),73,56,62,46,76
세전계속사업이익,99,74,77,69,121
당기순이익,79,60,62,52,96
  당기순이익(지배),79,60,62,52,96
  당기순이익(비지배),,,,,
자산총계,"6,356","6,247","6,209","7,196","7,347"
부채총계,"1,762","1,687","1,624","2,480","2,489"
자본총계,"4,594","4,560","4,585","4,716","4,858"
  자본총계(지배),"4,594","4,560","4,585","4,716","4,858"
  자본총계(비지배),,,,,
자본금,742,742,742,742,742
영업활동현금흐름,-103,-100,89,-432,178
투자활동현금흐름,288,14,-2,-26,-113
재무활동현금흐름,-66,46,-317,408,-64
CAPEX,2,0,1,4,11
FCF,,,,,
이자발생부채,0,0,0,610,410
영업이익률,38.50,26.59,30.22,22.19,33.93
순이익률,41.84,28.63,30.10,25.20,43.12
ROE(%),1.72,1.31,1.36,1.12,2.00
ROA(%),1.24,0.95,1.00,0.78,1.32
부채비율,38.35,36.99,35.43,52.59,51.22
자본유보율,561.18,556.37,562.86,582.96,602.10
EPS(원),106,81,84,70,129
PER(배),29.93,33.11,29.45,32.79,20.87
BPS(원),"7,387","7,320","7,469","7,778","8,013"
PBR(배),0.43,0.37,0.33,0.30,0.34
현금DPS(원),120,150,120,110,130
현금배당수익률,3.77,5.60,4.86,4.76,4.81
현금배당성향(%),96.64,158.34,120.82,130.49,83.70
발행주식수(보통주),"56,702,415","56,702,415","56,702,415","56,702,415","56,702,415"
