주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"19,937","18,772","18,725","18,212","19,734","21,320","23,552"
영업이익,"1,353","1,431","1,362","1,500","1,290","1,357","1,666"
영업이익(발표기준),"1,353","1,431","1,362","1,500","1,290",,
세전계속사업이익,"1,292",194,889,"1,415","1,605","1,952","1,442"
당기순이익,790,15,436,979,"1,123","1,456","1,065"
  당기순이익(지배),936,79,485,952,"1,131","1,444","1,054"
  당기순이익(비지배),-146,-65,-49,28,-8,,
자산총계,"22,876","23,748","25,477","26,262","29,874","31,962","33,415"
부채총계,"14,524","14,436","15,996","16,008","18,512","20,091","20,792"
자본총계,"8,353","9,312","9,482","10,254","11,362","11,871","12,624"
  자본총계(지배),"8,363","9,211","9,366","10,095","11,218","11,746","12,512"
  자본총계(비지배),-11,,115,159,144,,
자본금,"1,232","1,358","1,360","2,122","2,122","2,121","2,121"
영업활동현금흐름,927,"1,686","1,020","1,562","1,343",838,"1,312"
투자활동현금흐름,"-3,698","-1,364","-3,476",576,"-2,806",-126,-525
재무활동현금흐름,"1,148",-173,"1,682",-372,659,-378,-480
CAPEX,"1,065",434,411,"1,102","2,148","1,600","1,600"
FCF,-138,"1,252",609,460,-805,"-1,574",35
이자발생부채,"4,948","3,880","4,931","5,043","6,135",,
영업이익률,6.79,7.62,7.27,8.24,6.54,6.37,7.08
순이익률,3.96,0.08,2.33,5.38,5.69,6.83,4.52
ROE(%),11.59,0.90,5.22,9.78,10.62,12.58,8.69
ROA(%),3.60,0.06,1.77,3.79,4.00,4.71,3.26
부채비율,173.88,155.03,168.70,156.12,162.93,169.24,164.70
자본유보율,591.01,585.32,596.00,376.36,424.41,,
EPS(원),"2,534",199,"1,190","2,368","2,772","3,539","2,582"
PER(배),14.32,358.02,38.28,16.77,14.87,9.83,13.48
BPS(원),"22,635","22,611","22,958","24,732","27,485","28,777","30,655"
PBR(배),1.60,3.16,1.98,1.61,1.50,1.21,1.14
현금DPS(원),333,600,600,800,800,900,700
현금배당수익률,0.92,0.84,1.32,2.02,1.94,2.59,2.01
현금배당성향(%),13.16,307.80,50.46,34.31,28.87,25.43,27.11
발행주식수(보통주),"36,948,770","40,737,399","40,799,001","40,815,191","40,815,191",,
