주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"606,551","649,778","643,668","577,928","763,323","874,144","879,201","896,720"
영업이익,"46,218","55,426","38,689","24,030","92,381","80,756","78,124","80,322"
영업이익(발표기준),"46,218","55,426","38,689","24,030","92,381",,,
세전계속사업이익,"41,797","35,628","30,533","20,251","94,161","81,365","77,890","80,019"
당기순이익,"29,735","18,921","19,826","17,882","71,959","60,865","57,921","59,410"
  당기순이익(지배),"27,901","16,906","18,351","16,021","66,172","55,528","52,899","54,228"
  당기순이익(비지배),"1,834","2,015","1,476","1,860","5,787",,,
자산총계,"790,250","782,483","790,587","790,870","914,716","961,461","996,488","1,037,613"
부채총계,"315,610","314,887","312,640","314,124","366,667","364,033","352,324","344,624"
자본총계,"474,640","467,596","477,947","476,746","548,049","597,429","642,679","690,976"
  자본총계(지배),"437,329","433,713","444,719","443,314","504,274","549,480","592,409","636,771"
  자본총계(비지배),"37,311",,"33,228","33,432","43,776",,,
자본금,"4,824","4,824","4,824","4,824","4,824","4,821","4,821","4,821"
영업활동현금흐름,"56,073","58,697","60,047","86,857","62,594","81,212","88,469","92,074"
투자활동현금흐름,"-38,179","-26,480","-36,829","-62,593","-55,835","-46,679","-51,826","-57,694"
재무활동현금흐름,"-15,655","-31,950","-15,122","-10,909","-7,687","-17,034","-23,340","-20,946"
CAPEX,"22,876","21,356","25,192","31,969","30,797","40,908","44,040","45,722"
FCF,"33,197","37,342","34,854","54,888","31,797","41,477","43,489","43,619"
이자발생부채,"211,567","203,040","211,171","212,373","225,192",,,
영업이익률,7.62,8.53,6.01,4.16,12.10,9.24,8.89,8.96
순이익률,4.90,2.91,3.08,3.09,9.43,6.96,6.59,6.63
ROE(%),6.48,3.88,4.18,3.61,13.97,10.54,9.26,8.82
ROA(%),3.74,2.41,2.52,2.26,8.44,6.49,5.92,5.84
부채비율,66.49,67.34,65.41,65.89,66.90,60.93,54.82,49.87
자본유보율,"9,218.26","9,458.18","9,630.20","9,830.37","10,970.25",,,
EPS(원),"32,001","19,391","21,048","18,376","75,897","63,688","60,673","62,197"
PER(배),10.39,12.53,11.24,14.80,3.62,4.40,4.62,4.51
BPS(원),"546,664","542,133","555,096","583,189","666,803","724,438","781,035","839,523"
PBR(배),0.61,0.45,0.43,0.47,0.41,0.39,0.36,0.33
현금DPS(원),"8,000","10,000","10,000","8,000","17,000","15,933","15,867","15,929"
현금배당수익률,2.41,4.12,4.23,2.94,6.19,5.68,5.66,5.68
현금배당성향(%),22.94,47.32,43.66,38.72,19.43,25.02,26.15,25.61
발행주식수(보통주),"87,186,835","87,186,835","87,186,835","87,186,835","87,186,835",,,
