주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"3,914","4,132","4,372","4,318","5,367","6,534"
영업이익,81,171,129,10,256,407
영업이익(발표기준),81,171,129,10,256,
세전계속사업이익,51,154,108,-5,392,
당기순이익,15,98,50,-17,287,
  당기순이익(지배),15,98,50,-15,288,
  당기순이익(비지배),0,0,0,-2,-1,
자산총계,"2,787","3,048","3,142","3,068","3,670",
부채총계,"1,778","1,925","1,974","1,856","2,118",
자본총계,"1,009","1,122","1,168","1,211","1,552",
  자본총계(지배),"1,006","1,119","1,165","1,172","1,509",
  자본총계(비지배),3,,3,39,43,
자본금,223,223,223,230,235,
영업활동현금흐름,-12,214,-67,-56,76,
투자활동현금흐름,3,-6,-119,-47,277,
재무활동현금흐름,10,-65,101,82,-78,
CAPEX,28,31,86,40,98,
FCF,-40,184,-154,-96,-22,
이자발생부채,"1,284","1,229","1,352","1,405","1,252",
영업이익률,2.07,4.13,2.94,0.22,4.77,6.23
순이익률,0.38,2.36,1.15,-0.39,5.35,
ROE(%),1.52,9.19,4.42,-1.30,21.49,
ROA(%),0.53,3.34,1.63,-0.54,8.53,
부채비율,176.16,171.53,168.92,153.25,136.42,
자본유보율,331.36,369.24,382.91,383.08,476.19,
EPS(원),65,416,215,-65,"1,226",
PER(배),27.59,4.58,12.40,N/A,7.90,
BPS(원),"4,541","4,976","5,181","5,054","6,507",
PBR(배),0.40,0.38,0.51,1.05,1.49,
현금DPS(원),0,76,29,15,150,
현금배당수익률,0.00,4.00,1.07,0.28,1.55,
현금배당성향(%),0.00,17.47,12.68,-22.45,12.08,
발행주식수(보통주),"23,500,000","23,500,000","23,500,000","23,500,000","23,500,000",
