주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"3,308","5,628","4,547","6,998","7,910","5,858","7,649","7,948"
영업이익,237,851,823,"1,398","1,294",953,"1,062","1,026"
영업이익(발표기준),237,851,823,"1,398","1,294",,,
세전계속사업이익,888,691,593,932,"1,816","1,219","1,380","1,144"
당기순이익,650,524,449,661,"1,336",779,976,857
  당기순이익(지배),543,524,449,659,"1,333",879,"1,028",856
  당기순이익(비지배),107,,,2,4,,,
자산총계,"9,413","14,901","13,969","17,124","19,834","20,054","20,606","20,170"
부채총계,"6,827","11,423","10,355","11,810","13,442","13,053","12,814","11,723"
자본총계,"2,586","3,478","3,614","5,315","6,393","7,005","7,792","8,452"
  자본총계(지배),"2,586","3,478","3,614","5,244","6,393","6,980","7,767","8,442"
  자본총계(비지배),,,,71,,,,
자본금,162,190,190,242,242,241,241,241
영업활동현금흐름,"-1,575","-1,345","2,771","-1,861",-275,"1,483",807,"1,857"
투자활동현금흐름,"1,909","-2,664",-732,"-2,284",-983,88,-429,-648
재무활동현금흐름,-336,"4,420","-1,743","3,376","1,424",-658,-258,"-1,004"
CAPEX,246,"2,094",881,112,501,76,102,0
FCF,"-1,820","-3,438","1,891","-1,973",-777,-341,73,"1,257"
이자발생부채,"5,334","9,104","7,812","10,011","11,539",,,
영업이익률,7.15,15.12,18.09,19.98,16.36,16.26,13.89,12.91
순이익률,19.65,9.31,9.88,9.45,16.89,13.30,12.76,10.78
ROE(%),23.14,17.29,12.66,14.88,22.91,13.15,13.94,10.55
ROA(%),6.62,4.31,3.11,4.25,7.23,3.91,4.80,4.20
부채비율,264.01,328.42,286.51,222.20,210.27,186.34,164.44,138.70
자본유보율,"1,479.65","1,701.81","1,766.65","2,086.72","2,558.45",,,
EPS(원),"3,362","3,235","2,365","2,972","5,510","3,635","4,248","3,537"
PER(배),10.01,8.27,12.31,14.52,5.76,8.16,6.98,8.38
BPS(원),"16,008","18,316","19,033","21,679","26,427","28,855","32,110","34,901"
PBR(배),2.10,1.46,1.53,1.99,1.20,1.03,0.92,0.85
현금DPS(원),600,600,600,600,800,733,733,800
현금배당수익률,1.78,2.24,2.06,1.39,2.52,2.47,2.47,2.70
현금배당성향(%),17.85,21.74,25.37,25.35,14.85,18.51,15.83,20.75
발행주식수(보통주),"16,155,000","18,990,164","18,990,164","18,990,164","22,190,164",,,
