주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"24,623","25,215","27,367","27,979","27,989","33,352","33,941"
영업이익,784,565,980,817,"1,347","1,854","1,863"
영업이익(발표기준),784,565,980,817,"1,347",,
세전계속사업이익,880,-366,208,684,"1,304","1,704","1,713"
당기순이익,604,-454,31,705,759,"1,292","1,299"
  당기순이익(지배),317,-159,202,544,403,"1,008","1,013"
  당기순이익(비지배),287,-295,-170,161,356,,
자산총계,"16,936","16,783","17,314","18,400","22,413","19,929","20,878"
부채총계,"9,924","10,606","11,355","10,942","12,919","11,243","11,308"
자본총계,"7,012","6,177","5,959","7,458","9,494","8,686","9,570"
  자본총계(지배),"2,853","2,604","2,715","3,683","4,737","4,266","4,865"
  자본총계(비지배),"4,159",,"3,244","3,774","4,756",,
자본금,200,200,200,200,200,200,200
영업활동현금흐름,958,145,"1,449","1,101",-678,"2,631","2,466"
투자활동현금흐름,"-1,727",-276,-564,-357,-302,-474,-452
재무활동현금흐름,-753,-41,-494,-239,372,-353,-353
CAPEX,349,407,605,462,455,350,300
FCF,609,-262,845,639,"-1,133",,
이자발생부채,"6,382","6,736","7,106","6,989","7,892",,
영업이익률,3.19,2.24,3.58,2.92,4.81,5.56,5.49
순이익률,2.45,-1.80,0.12,2.52,2.71,3.87,3.83
ROE(%),11.52,-5.83,7.58,16.99,9.57,22.39,22.19
ROA(%),3.52,-2.69,0.19,3.95,3.72,6.10,6.37
부채비율,141.53,171.69,190.55,146.72,136.08,129.44,118.16
자본유보율,"1,586.73","1,495.74","1,555.21","1,845.72","2,010.71",,
EPS(원),792,-398,504,"1,359","1,007","2,520","2,532"
PER(배),13.57,N/A,14.65,5.64,7.37,2.64,2.63
BPS(원),"7,242","6,633","6,914","9,382","12,066","10,866","12,391"
PBR(배),1.48,1.21,1.07,0.82,0.61,0.61,0.54
현금DPS(원),220,220,250,250,250,250,250
현금배당수익률,2.05,2.75,3.39,3.26,3.37,3.76,3.76
현금배당성향(%),27.34,-54.26,48.71,18.06,24.36,9.92,9.87
발행주식수(보통주),"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000",,
