주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,125,"1,410","1,929","2,275","2,519","2,624","2,788"
영업이익,-2,43,86,197,127,134,152
영업이익(발표기준),-2,43,86,197,127,,
세전계속사업이익,5,46,90,207,153,153,171
당기순이익,3,40,78,173,129,130,145
  당기순이익(지배),3,40,78,173,129,130,145
  당기순이익(비지배),,,,,,,
자산총계,233,720,671,958,848,"1,037","1,185"
부채총계,16,469,350,470,234,337,346
자본총계,218,251,320,488,614,700,839
  자본총계(지배),218,251,320,488,614,700,839
  자본총계(비지배),,,,,,,
자본금,10,10,10,10,10,10,10
영업활동현금흐름,-8,68,176,207,-72,254,176
투자활동현금흐름,20,-45,-98,-106,-33,-39,-42
재무활동현금흐름,,,-10,-13,-27,-11,-11
CAPEX,0,13,19,62,37,38,41
FCF,-8,55,156,145,-108,,
이자발생부채,0,0,18,86,53,,
영업이익률,-1.90,3.05,4.48,8.68,5.04,5.11,5.45
순이익률,2.46,2.85,4.05,7.62,5.13,4.95,5.20
ROE(%),1.42,17.13,27.34,42.92,23.47,19.78,18.84
ROA(%),1.33,8.43,11.24,21.30,14.33,13.79,13.05
부채비율,7.12,186.58,109.33,96.31,38.01,48.14,41.24
자본유보율,"2,457.24","2,786.94","3,477.58","5,152.04","6,418.49",,
EPS(원),154,"2,009","3,907","8,672","6,468","6,500","7,250"
PER(배),267.25,17.97,11.32,6.40,9.48,8.29,7.43
BPS(원),"12,968","14,970","19,084","29,057","36,600","41,693","49,971"
PBR(배),3.18,2.41,2.32,1.91,1.67,1.29,1.08
현금DPS(원),0,300,300,300,400,400,400
현금배당수익률,0.00,0.83,0.68,0.54,0.65,0.74,0.74
현금배당성향(%),0.00,12.53,6.45,2.90,5.19,6.15,5.52
발행주식수(보통주),"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",,
