주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"11,199","11,780","11,122","10,579","10,801","11,121","11,322","11,550"
영업이익,729,672,292,342,445,502,525,546
영업이익(발표기준),729,672,292,342,445,,,
세전계속사업이익,412,512,-910,"-3,100",353,400,439,472
당기순이익,289,391,-942,"-3,128",269,294,324,348
  당기순이익(지배),289,391,-942,"-3,128",269,294,324,348
  당기순이익(비지배),,,,,,,,
자산총계,"18,682","19,370","17,907","14,727","14,881","15,154","15,423","15,602"
부채총계,"8,810","8,843","8,394","8,416","8,357","8,420","8,458","8,387"
자본총계,"9,871","10,527","9,513","6,311","6,524","6,734","6,965","7,215"
  자본총계(지배),"9,871","10,527","9,513","6,311","6,524","6,734","6,965","7,215"
  자본총계(비지배),,,,,,,,
자본금,"1,936","1,936","1,936","1,936","1,936","1,937","1,937","1,937"
영업활동현금흐름,"2,813","2,626","2,504","2,186",698,"1,285","1,638","1,592"
투자활동현금흐름,"-2,741","-2,075","-1,147",-973,"-1,176",-927,-871,-819
재무활동현금흐름,-19,-107,"-1,641",-515,268,171,-105,-90
CAPEX,"1,712","1,785","1,046","1,047",886,716,693,669
FCF,"1,100",840,"1,459","1,139",-188,-585,823,829
이자발생부채,"6,630","6,629","5,860","5,582","5,896",,,
영업이익률,6.51,5.71,2.63,3.23,4.12,4.51,4.64,4.73
순이익률,2.58,3.32,-8.47,-29.57,2.49,2.65,2.86,3.02
ROE(%),2.96,,-9.40,-39.53,4.20,4.44,4.73,4.91
ROA(%),1.56,,-5.06,-19.17,1.82,1.96,2.12,2.25
부채비율,89.25,84.00,88.23,133.36,128.10,125.04,121.44,116.25
자본유보율,409.83,443.70,391.34,225.96,236.93,,,
EPS(원),373,505,"-1,217","-4,039",348,380,418,450
PER(배),19.04,18.14,N/A,N/A,15.99,15.52,14.10,13.12
BPS(원),"12,746","13,593","12,283","8,149","8,424","8,695","8,993","9,316"
PBR(배),0.56,0.67,0.49,0.48,0.66,0.68,0.66,0.63
현금DPS(원),75,75,75,75,110,115,123,130
현금배당수익률,1.06,0.82,1.24,1.93,1.98,1.95,2.09,2.20
현금배당성향(%),20.11,14.85,-6.16,-1.86,31.64,30.26,29.48,28.90
발행주식수(보통주),"77,446,865","77,446,865","77,446,865",,,,,
