주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,263","1,324","1,175","1,214","1,434"
영업이익,17,22,-10,26,18
영업이익(발표기준),17,22,-10,26,18
세전계속사업이익,52,9,-34,7,-35
당기순이익,49,8,-35,7,-30
  당기순이익(지배),49,8,-35,7,-30
  당기순이익(비지배),,,,,
자산총계,883,887,809,"1,012","1,450"
부채총계,614,594,546,738,760
자본총계,269,292,264,274,690
  자본총계(지배),269,292,264,274,690
  자본총계(비지배),,,,,
자본금,136,136,136,136,253
영업활동현금흐름,71,66,20,-46,-38
투자활동현금흐름,-20,-18,-16,-98,-165
재무활동현금흐름,-29,-30,-22,186,462
CAPEX,19,26,16,62,34
FCF,52,40,4,-109,-73
이자발생부채,482,420,389,567,614
영업이익률,1.37,1.66,-0.81,2.14,1.27
순이익률,3.86,0.58,-2.98,0.54,-2.12
ROE(%),19.82,2.72,-12.62,2.43,-6.31
ROA(%),5.56,0.86,-4.14,0.72,-2.47
부채비율,227.88,203.41,206.93,269.02,110.11
자본유보율,-10.00,0.56,-20.45,-12.19,112.84
EPS(원),180,28,-129,24,-79
PER(배),6.46,192.77,N/A,102.91,N/A
BPS(원),"1,016","1,080",974,"1,013","1,368"
PBR(배),1.14,5.02,2.89,2.44,2.47
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"27,134,839","27,134,839","27,134,839","27,134,839","50,535,136"
