주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,539,266,238,59,71
영업이익,0,-27,39,3,-3
영업이익(발표기준),0,-27,39,3,-3
세전계속사업이익,-24,-40,98,-1,15
당기순이익,-30,-52,110,-1,15
  당기순이익(지배),-19,-42,119,-1,15
  당기순이익(비지배),-11,-11,-10,,
자산총계,881,803,789,707,821
부채총계,488,459,300,219,318
자본총계,393,344,489,488,503
  자본총계(지배),414,369,489,488,503
  자본총계(비지배),-20,,,,
자본금,214,214,214,214,214
영업활동현금흐름,242,-28,167,-19,-100
투자활동현금흐름,20,-6,54,-11,-22
재무활동현금흐름,-226,-13,-133,-56,94
CAPEX,4,1,0,32,38
FCF,237,-29,167,-50,-137
이자발생부채,354,333,166,111,206
영업이익률,0.05,-10.09,16.52,5.86,-4.67
순이익률,-5.54,-19.66,45.99,-0.97,21.20
ROE(%),-4.42,-10.63,25.56,-0.12,3.02
ROA(%),-2.90,-6.20,13.93,-0.08,1.96
부채비율,124.25,133.53,61.39,44.78,63.11
자본유보율,100.67,80.05,135.72,135.45,142.44
EPS(원),-43,-97,256,-1,35
PER(배),N/A,N/A,2.77,N/A,89.01
BPS(원),"1,063",950,"1,257","1,256","1,294"
PBR(배),0.78,0.66,0.56,0.54,2.40
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"42,851,600","42,851,600","42,851,600","42,851,600","42,851,600"
