주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,012","2,095","2,034","2,013","2,385"
영업이익,52,1,-4,-48,-88
영업이익(발표기준),52,1,-4,-48,-88
세전계속사업이익,34,-45,-23,41,-311
당기순이익,43,-39,-23,45,-244
  당기순이익(지배),43,-39,-23,45,-244
  당기순이익(비지배),,,,,
자산총계,"2,651","3,036","3,125","3,500","3,470"
부채총계,832,"1,296","1,398","1,476","1,725"
자본총계,"1,818","1,740","1,727","2,024","1,745"
  자본총계(지배),"1,818","1,740","1,727","2,024","1,745"
  자본총계(비지배),,,,,
자본금,64,64,64,64,64
영업활동현금흐름,134,-50,123,143,-43
투자활동현금흐름,-268,-378,-117,-105,-181
재무활동현금흐름,147,420,41,-71,220
CAPEX,193,361,164,112,205
FCF,-59,-411,-41,31,-249
이자발생부채,393,839,910,879,"1,120"
영업이익률,2.57,0.06,-0.18,-2.38,-3.69
순이익률,2.14,-1.86,-1.14,2.22,-10.23
ROE(%),2.36,-2.19,-1.33,2.38,-12.94
ROA(%),1.66,-1.37,-0.75,1.35,-7.00
부채비율,45.78,74.47,80.94,72.89,98.86
자본유보율,"2,860.18","2,759.91","2,735.75","2,800.01","2,379.14"
EPS(원),336,-305,-181,349,"-1,906"
PER(배),30.06,N/A,N/A,19.44,N/A
BPS(원),"17,317","16,574","16,451","20,016","17,256"
PBR(배),0.58,0.39,0.33,0.34,0.51
현금DPS(원),250,100,200,200,100
현금배당수익률,2.48,1.53,3.64,2.95,1.14
현금배당성향(%),61.04,-26.91,-90.79,45.31,-4.15
발행주식수(보통주),"12,800,000","12,800,000","12,800,000","12,800,000","12,800,000"
