주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"5,121","5,921",,34,"13,717"
영업이익,306,348,-28,-41,672
영업이익(발표기준),306,348,-28,-41,672
세전계속사업이익,454,"2,792",99,932,698
당기순이익,356,"2,647",646,"1,472",547
  당기순이익(지배),356,"2,647",646,"1,472",-23
  당기순이익(비지배),,,,,570
자산총계,"6,071","11,369","12,019","16,387","17,240"
부채총계,870,"1,530","1,621","2,925","3,511"
자본총계,"5,201","9,839","10,397","13,463","13,729"
  자본총계(지배),"5,201","9,839","10,397","6,073","5,959"
  자본총계(비지배),,,,"7,390","7,770"
자본금,244,407,407,176,176
영업활동현금흐름,689,378,"1,801",404,"2,540"
투자활동현금흐름,-576,-159,"-1,490",309,"-1,427"
재무활동현금흐름,-62,-154,-168,-238,-286
CAPEX,559,403,908,359,"1,926"
FCF,130,-25,892,46,614
이자발생부채,63,128,234,277,102
영업이익률,5.97,5.88,,-121.20,4.90
순이익률,6.95,44.71,,"4,378.76",3.99
ROE(%),7.22,,6.38,17.88,-0.39
ROA(%),6.11,,5.52,10.37,3.25
부채비율,16.73,15.55,15.60,21.73,25.57
자본유보율,"2,101.53","2,432.10","2,552.97","6,181.24","3,372.56"
EPS(원),730,"5,152",794,"2,991",-66
PER(배),13.51,1.77,13.16,2.33,N/A
BPS(원),"12,488","14,153","14,955","17,300","16,976"
PBR(배),0.79,0.64,0.70,0.40,0.47
현금DPS(원),300,300,300,300,300
현금배당수익률,3.04,3.30,2.87,4.30,3.72
현금배당성향(%),35.09,7.89,32.33,7.16,-453.35
발행주식수(보통주),"48,796,300","78,006,972","78,006,972","33,890,150","33,890,150"
