주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"154,688","131,610","151,826","149,037","154,934","179,597","200,120","218,400"
영업이익,146,"-4,814","2,902",744,"-13,848",46,"7,922","14,038"
영업이익(발표기준),146,"-4,814","2,902",744,"-13,848",,,
세전계속사업이익,-269,"-8,540",899,"-5,690","-16,322",221,"7,414","13,417"
당기순이익,"26,931","-4,536","2,131","-8,352","-11,412",171,"5,535","9,922"
  당기순이익(지배),"24,578","-4,891","1,641","-8,338","-9,293",462,"4,656","8,218"
  당기순이익(비지배),"2,354",354,490,-14,"-2,119",,,
자산총계,"304,088","247,299","250,554","252,442","272,931","270,320","279,619","292,388"
부채총계,"180,368","116,189","121,291","128,230","148,793","146,815","150,436","154,466"
자본총계,"123,720","131,110","129,263","124,212","124,138","123,506","129,183","137,924"
  자본총계(지배),"111,214","118,822","115,669","109,063","98,566","99,902","105,364","111,510"
  자본총계(비지배),"12,506",,"13,594","15,149","25,572",,,
자본금,"2,833","3,539","3,539","3,539","3,539","3,540","3,540","3,540"
영업활동현금흐름,"5,933","1,265","-14,641",-900,"8,358","-2,389","5,076","9,459"
투자활동현금흐름,"5,963",-57,"-3,296","4,571","1,815","-3,815","-3,560","-4,311"
재무활동현금흐름,"-21,225","-3,294","9,732","12,268","-1,890","1,418","1,028","-1,493"
CAPEX,"3,733","2,258","4,047","3,784","3,830","3,703","3,663","3,619"
FCF,"2,200",-992,"-18,688","-4,684","4,529","-2,600","2,114","4,000"
이자발생부채,"53,366","39,019","53,462","64,393","52,666",,,
영업이익률,0.10,-3.66,1.91,0.50,-8.94,0.03,3.96,6.43
순이익률,17.41,-3.45,1.40,-5.60,-7.37,0.10,2.77,4.54
ROE(%),18.17,-4.25,1.40,-7.42,-8.95,0.47,4.54,7.58
ROA(%),6.79,-1.65,0.86,-3.32,-4.34,0.06,2.01,3.47
부채비율,145.79,88.62,93.83,103.23,119.86,118.87,116.45,111.99
자본유보율,"6,101.36","5,235.63","5,274.30","5,035.69","4,766.69",,,
EPS(원),"37,625","-7,296","2,318","-11,781","-13,131",654,"6,579","11,611"
PER(배),2.55,N/A,54.56,N/A,N/A,140.32,13.94,7.90
BPS(원),"185,395","168,031","163,572","154,230","139,385","141,275","148,999","157,690"
PBR(배),0.52,0.76,0.77,0.70,0.68,0.65,0.62,0.58
현금DPS(원),0,0,0,0,,167,700,"1,400"
현금배당수익률,0.00,0.00,0.00,0.00,,0.18,0.76,1.53
현금배당성향(%),0.00,0.00,0.00,0.00,,25.50,10.64,12.06
발행주식수(보통주),"60,045,754","70,773,116","70,773,116","70,773,116","70,773,116",,,
