주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,599,605,709,737,846
영업이익,16,19,10,38,31
영업이익(발표기준),16,19,10,38,31
세전계속사업이익,12,8,1,25,21
당기순이익,11,3,-1,30,19
  당기순이익(지배),11,3,-1,30,19
  당기순이익(비지배),,,,,
자산총계,935,940,917,879,"1,038"
부채총계,471,458,437,367,505
자본총계,464,483,480,512,533
  자본총계(지배),464,483,480,512,533
  자본총계(비지배),,,,,
자본금,252,260,260,260,260
영업활동현금흐름,65,39,-25,82,-80
투자활동현금흐름,-58,-40,53,-5,-17
재무활동현금흐름,15,4,-50,-71,91
CAPEX,31,8,5,7,16
FCF,34,31,-29,75,-96
이자발생부채,292,278,231,159,254
영업이익률,2.69,3.13,1.37,5.18,3.64
순이익률,1.75,0.54,-0.18,4.08,2.19
ROE(%),2.50,0.69,-0.27,6.06,3.54
ROA(%),1.16,0.35,-0.14,3.35,1.93
부채비율,101.37,94.87,91.16,71.58,94.86
자본유보율,85.08,88.63,88.14,99.72,106.85
EPS(원),230,64,-25,579,357
PER(배),49.91,364.98,N/A,32.66,59.04
BPS(원),"9,202","9,294","9,238","9,862","10,258"
PBR(배),1.25,2.50,1.66,1.92,2.05
현금DPS(원),,,,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,044,441","5,192,239","5,192,239","5,192,239","5,192,239"
