주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"175,200","168,740","177,407","160,877","167,486","174,208","181,359","187,779"
영업이익,"15,366","12,018","11,082","12,486","13,872","16,332","17,735","18,924"
영업이익(발표기준),"15,366","12,018","11,082","12,486","13,872",,,
세전계속사업이익,"34,032","39,760","11,610","9,052","17,182","14,658","16,733","18,023"
당기순이익,"26,576","31,320","8,607","15,005","24,190","10,905","12,731","13,713"
  당기순이익(지배),"25,998","31,279","8,887","15,044","24,075","10,389","12,145","13,064"
  당기순이익(비지배),578,41,-280,-38,115,,,
자산총계,"334,287","423,691","452,024","479,070","309,113","328,410","336,157","345,090"
부채총계,"153,995","200,199","223,854","235,107","185,761","200,629","203,150","205,696"
자본총계,"180,292","223,492","228,169","243,962","123,351","127,781","133,007","139,394"
  자본총계(지배),"178,421","224,708","229,502","237,439","115,793","120,212","124,977","130,873"
  자본총계(비지배),"1,871",,"-1,333","6,523","7,558",,,
자본금,446,446,446,446,305,293,293,293
영업활동현금흐름,"38,558","43,326","40,350","58,219","50,313","50,299","47,182","48,773"
투자활동현금흐름,"-30,706","-40,477","-35,816","-42,504","-34,862","-35,895","-37,774","-34,562"
재무활동현금흐름,"-8,266","-2,383","-6,867","-14,576","-20,536","-9,079","-7,539","-8,792"
CAPEX,"27,159","27,924","33,759","35,578","29,159","30,966","31,442","28,896"
FCF,"11,400","15,402","6,591","22,641","21,154","19,973","13,454","14,102"
이자발생부채,"77,717","100,761","119,788","125,800","107,670",,,
영업이익률,8.77,7.12,6.25,7.76,8.28,9.38,9.78,10.08
순이익률,15.17,18.56,4.85,9.33,14.44,6.26,7.02,7.30
ROE(%),15.38,15.52,3.91,6.44,13.63,8.80,9.91,10.21
ROA(%),8.21,8.26,1.97,3.22,6.14,3.42,3.83,4.03
부채비율,85.41,89.58,98.11,96.37,150.59,157.01,152.74,147.56
자본유보율,"46,488.12","56,140.21","56,328.70","58,016.08","79,389.83",,,
EPS(원),"6,440","7,748","2,201","3,726","6,841","4,747","5,550","5,970"
PER(배),8.29,6.96,21.62,12.77,8.46,12.85,10.99,10.22
BPS(원),"50,538","62,532","62,760","66,577","53,218","55,142","57,328","60,033"
PBR(배),1.06,0.86,0.76,0.71,1.09,1.11,1.06,1.02
현금DPS(원),"2,000","2,000","2,000","2,000","2,660","3,450","3,650","3,518"
현금배당수익률,3.75,3.71,4.20,4.20,4.59,5.66,5.98,5.77
현금배당성향(%),27.16,22.94,82.15,47.53,29.78,72.67,65.77,58.93
발행주식수(보통주),"403,728,555","403,728,555","403,728,555","403,728,555","218,833,144",,,
