주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"7,660","7,710","7,748","7,432","7,704"
영업이익,199,160,243,263,160
영업이익(발표기준),199,160,243,263,160
세전계속사업이익,190,154,176,185,149
당기순이익,148,129,130,141,119
  당기순이익(지배),148,129,130,141,119
  당기순이익(비지배),,,,,
자산총계,"6,458","6,539","6,972","7,021","7,425"
부채총계,"3,456","3,519","3,907","3,877","4,251"
자본총계,"3,002","3,020","3,065","3,144","3,173"
  자본총계(지배),"3,002","3,020","3,065","3,144","3,173"
  자본총계(비지배),,,,,
자본금,275,275,275,275,275
영업활동현금흐름,479,502,476,356,547
투자활동현금흐름,-380,-418,-386,-357,-365
재무활동현금흐름,-96,-102,-61,34,-159
CAPEX,452,404,465,397,366
FCF,27,98,10,-41,182
이자발생부채,837,808,"1,060","1,185","1,142"
영업이익률,2.60,2.07,3.13,3.54,2.08
순이익률,1.94,1.67,1.68,1.90,1.55
ROE(%),5.01,,4.28,4.55,3.77
ROA(%),2.34,,1.93,2.02,1.65
부채비율,115.14,116.51,127.49,123.31,133.97
자본유보율,991.58,998.97,"1,016.85","1,049.38","1,068.26"
EPS(원),540,469,474,514,433
PER(배),11.17,11.52,11.06,10.37,21.12
BPS(원),"10,916","10,981","11,145","11,433","11,669"
PBR(배),0.55,0.49,0.47,0.47,0.78
현금DPS(원),250,250,250,250,250
현금배당수익률,4.15,4.63,4.77,4.69,2.73
현금배당성향(%),46.30,53.32,52.75,48.65,57.07
발행주식수(보통주),"27,500,000","27,500,000","27,500,000","27,500,000","27,500,000"
