주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,,"7,427","11,854","13,231","19,024","23,782","28,086","35,480"
영업이익,,-13,292,377,711,906,"1,178","2,070"
영업이익(발표기준),,-13,292,377,711,,,
세전계속사업이익,,-69,193,310,625,799,"1,067","2,000"
당기순이익,,-57,148,241,468,604,808,"1,520"
  당기순이익(지배),,-57,148,241,468,604,808,"1,520"
  당기순이익(비지배),,,,,,,,
자산총계,221,"2,465","3,200","3,423","5,500","5,920","6,542","7,870"
부채총계,,"1,188","1,716","1,713","2,746","2,934","3,116","2,990"
자본총계,221,"1,277","1,484","1,710","2,755","2,984","3,424","4,880"
  자본총계(지배),221,"1,277","1,484","1,710","2,755","2,984","3,424","4,880"
  자본총계(비지배),,,,,,,,
자본금,11,67,67,67,240,240,240,240
영업활동현금흐름,-220,-104,64,335,69,846,940,"1,510"
투자활동현금흐름,,"-1,974",-6,-9,-24,-426,-439,-530
재무활동현금흐름,221,"2,088",0,-239,253,-266,-304,-360
CAPEX,,44,36,12,41,400,404,450
FCF,-220,-148,28,323,27,424,507,990
이자발생부채,0,974,"1,468","1,367","2,113",,,
영업이익률,,-0.17,2.46,2.85,3.74,3.81,4.20,5.83
순이익률,,-0.77,1.25,1.82,2.46,2.54,2.88,4.28
ROE(%),,-7.59,10.71,15.11,20.95,21.05,25.22,36.61
ROA(%),,-4.23,5.22,7.29,10.48,10.58,12.97,21.09
부채비율,0.00,93.00,115.69,100.22,99.67,98.32,91.00,61.27
자본유보율,"1,898.56","1,813.44","2,122.57","2,461.09","1,036.40",,,
EPS(원),,-179,369,602,"1,004","1,256","1,680","3,161"
PER(배),,,,,33.95,18.71,13.99,7.43
BPS(원),"3,331","3,189","3,704","4,268","5,729","6,205","7,119","10,148"
PBR(배),0.00,0.00,0.00,0.00,5.95,3.79,3.30,2.32
현금DPS(원),0,0,0,867,750,812,862,750
현금배당수익률,,,,,2.20,3.46,3.67,3.19
현금배당성향(%),,0.00,0.00,143.86,77.10,64.69,51.33,23.73
발행주식수(보통주),"6,633,000","40,053,000","40,053,000","40,053,000","48,086,533",,,
