주요재무정보,"2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,929,"2,952","3,100","3,255","3,417"
영업이익,16,112,67,81,95
영업이익(발표기준),16,112,,,
세전계속사업이익,83,"1,624","2,184","1,532","1,569"
당기순이익,"3,540","1,586","1,638","1,149","1,176"
  당기순이익(지배),"3,415","1,443","1,523","1,068","1,094"
  당기순이익(비지배),125,143,,,
자산총계,"20,036","21,322","22,130","23,940","25,430"
부채총계,"7,108","7,085","5,320","6,210","6,760"
자본총계,"12,928","14,237","16,810","17,730","18,670"
  자본총계(지배),"10,914","13,995","14,540","15,380","16,240"
  자본총계(비지배),"2,013",241,,,
자본금,194,261,210,210,210
영업활동현금흐름,473,458,300,80,630
투자활동현금흐름,"-1,707","1,501",-380,-750,-340
재무활동현금흐름,"1,154","-1,525",120,710,-250
CAPEX,152,62,330,410,0
FCF,321,397,300,-330,630
이자발생부채,"2,786","2,811",,,
영업이익률,1.73,3.81,2.16,2.49,2.78
순이익률,381.04,53.73,52.84,35.30,34.42
ROE(%),,11.58,10.67,7.14,6.92
ROA(%),,7.67,7.54,4.99,4.76
부채비율,54.98,49.77,31.65,35.03,36.21
자본유보율,"5,571.80","5,648.48",,,
EPS(원),"26,437","3,487","2,918","2,047","2,096"
PER(배),1.05,8.09,8.22,11.73,11.45
BPS(원),"31,400","29,043","39,752","42,048","44,399"
PBR(배),0.88,0.97,0.60,0.57,0.54
현금DPS(원),0,,500,500,500
현금배당수익률,0.00,,2.08,2.08,2.08
현금배당성향(%),0.00,,16.72,23.84,23.28
발행주식수(보통주),"37,500,902","50,929,268",,,
