주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,505","1,937","1,558","1,394","1,269"
영업이익,287,-100,-132,20,-9
영업이익(발표기준),287,-100,-132,20,-9
세전계속사업이익,771,-262,336,183,-180
당기순이익,515,-203,237,132,-160
  당기순이익(지배),515,-203,237,132,-160
  당기순이익(비지배),,,,,
자산총계,"6,701","6,190","6,246","5,988","6,466"
부채총계,"1,343","1,125","1,097",740,"1,481"
자본총계,"5,358","5,064","5,149","5,248","4,985"
  자본총계(지배),"5,358","5,064","5,149","5,248","4,985"
  자본총계(비지배),,,,,
자본금,57,57,57,57,57
영업활동현금흐름,196,-177,-4,80,476
투자활동현금흐름,-342,-144,591,-102,"-1,143"
재무활동현금흐름,202,21,-156,-333,517
CAPEX,214,297,229,329,117
FCF,-18,-473,-232,-248,359
이자발생부채,300,420,435,133,723
영업이익률,11.46,-5.18,-8.49,1.46,-0.70
순이익률,20.56,-10.46,15.21,9.51,-12.63
ROE(%),10.03,-3.89,4.64,2.55,-3.13
ROA(%),8.09,-3.14,3.81,2.17,-2.57
부채비율,25.07,22.22,21.31,14.10,29.71
자본유보율,"9,176.95","8,701.16","9,167.17","9,399.62","9,040.84"
EPS(원),"1,807",-711,832,465,-563
PER(배),10.87,N/A,10.21,15.44,N/A
BPS(원),"19,008","17,967","18,597","19,302","18,822"
PBR(배),1.03,0.76,0.46,0.37,0.44
현금DPS(원),350,350,0,150,230
현금배당수익률,1.78,2.57,0.00,2.09,2.75
현금배당성향(%),19.15,-48.69,0.00,30.78,-37.99
발행주식수(보통주),"28,500,000","28,500,000","28,500,000","28,500,000","28,500,000"
