주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,489,474,418,471,541
영업이익,18,32,12,77,121
영업이익(발표기준),18,32,12,77,121
세전계속사업이익,20,46,123,100,140
당기순이익,16,29,98,77,109
  당기순이익(지배),16,29,98,77,109
  당기순이익(비지배),,,,,
자산총계,"1,107","1,232","1,356","1,407","1,607"
부채총계,132,152,171,165,198
자본총계,975,"1,080","1,185","1,242","1,410"
  자본총계(지배),975,"1,080","1,185","1,242","1,408"
  자본총계(비지배),,,,,2
자본금,58,58,58,58,58
영업활동현금흐름,63,49,332,88,134
투자활동현금흐름,-19,-47,-224,-113,-107
재무활동현금흐름,-47,-21,-33,-23,-21
CAPEX,16,12,8,36,46
FCF,48,36,323,51,88
이자발생부채,10,10,4,4,3
영업이익률,3.68,6.66,2.85,16.37,22.45
순이익률,3.35,6.13,23.48,16.43,20.19
ROE(%),1.70,2.83,8.67,6.37,8.24
ROA(%),1.47,2.48,7.59,5.60,7.24
부채비율,13.55,14.07,14.46,13.27,14.02
자본유보율,"1,304.22","1,355.17","1,540.67","1,641.94","1,816.44"
EPS(원),141,251,847,667,941
PER(배),32.31,18.52,6.20,21.22,13.13
BPS(원),"8,401","9,310","10,362","10,958","12,420"
PBR(배),0.54,0.50,0.51,1.29,0.99
현금DPS(원),150,150,150,200,220
현금배당수익률,3.29,3.23,2.86,1.41,1.78
현금배당성향(%),106.16,59.48,17.46,29.31,22.84
발행주식수(보통주),"11,600,000","11,600,000","11,600,000","11,600,000","11,600,000"
